number,quote
112,"He had started running swiftly over the moor, and I had followed at
     his heels. But now from somewhere among the broken ground immediately
     in front of us there came one last despairing yell, and then a dull,
     heavy thud. We halted and listened. Not another sound broke the heavy
     silence of the windless night.

     I saw Holmes put his hand to his forehead like a man distracted. He
     stamped his feet upon the ground."
113,"A low moan had fallen upon our ears. There it was again upon our
     left! On that side a ridge of rocks ended in a sheer cliff which
     overlooked a stone-strewn slope. On its jagged face was spread-eagled
     some dark, irregular object. As we ran towards it the vague outline
     hardened into a definite shape. It was a prostrate man face downward
     upon the ground, the head doubled under him at a horrible angle, the
     shoulders rounded and the body hunched together as if in the act of
     throwing a somersault. So grotesque was the attitude that I could not
     for the instant realize that that moan had been the passing of his
     soul. Not a whisper, not a rustle, rose now from the dark figure over
     which we stooped. Holmes laid his hand upon him, and held it up
     again, with an exclamation of horror. The gleam of the match which he
     struck shone upon his clotted fingers and upon the ghastly pool which
     widened slowly from the crushed skull of the victim. And it shone
     upon something else which turned our hearts sick and faint within
     us--the body of Sir Henry Baskerville!

     There was no chance of either of us forgetting that peculiar ruddy
     tweed suit--the very one which he had worn on the first morning that
     we had seen him in Baker Street. We caught the one clear glimpse of
     it, and then the match flickered and went out, even as the hope had
     gone out of our souls. Holmes groaned, and his face glimmered white
     through the darkness."
114,"--his eyes darted again
     from my face to Holmes's--"
115,
116,
117,
118,
119,"And so it was arranged. Resisting Stapleton's offer of hospitality,
     Holmes and I set off to Baskerville Hall, leaving the naturalist to
     return alone. Looking back we saw the figure moving slowly away over
     the broad moor, and behind him that one black smudge on the silvered
     slope which showed where the man was lying who had come so horribly
     to his end.





          CHAPTER XIII
          Fixing the Nets"
120,
121,I gazed with interest and some surprise upon the portrait.
122,
123,
124,"Mrs. Lyons had resumed her seat. Her hands were grasping the arms of
     her chair, and I saw that the pink nails had turned white with the
     pressure of her grip."
125,"The fierce
     flash of her eyes said more than any words."
126,"She glanced at them, and then looked up at us with the set, rigid
     face of a desperate woman."
127,
128,
129,"The London express came roaring into the station, and a small, wiry
     bulldog of a man had sprung from a first-class carriage. We all three
     shook hands, and I saw at once from the reverential way in which
     Lestrade gazed at my companion that he had learned a good deal since
     the days when they had first worked together. I could well remember
     the scorn which the theories of the reasoner used then to excite in
     the practical man."
130,he asked.
131,"I tiptoed down the path and stooped behind the low wall which
     surrounded the stunted orchard. Creeping in its shadow I reached a
     point whence I could look straight through the uncurtained window.

     There were only two men in the room, Sir Henry and Stapleton. They
     sat with their profiles towards me on either side of the round table.
     Both of them were smoking cigars, and coffee and wine were in front
     of them. Stapleton was talking with animation, but the baronet looked
     pale and distrait. Perhaps the thought of that lonely walk across the
     ill-omened moor was weighing heavily upon his mind.

     As I watched them Stapleton rose and left the room, while Sir Henry
     filled his glass again and leaned back in his chair, puffing at his
     cigar. I heard the creak of a door and the crisp sound of boots upon
     gravel. The steps passed along the path on the other side of the wall
     under which I crouched. Looking over, I saw the naturalist pause at
     the door of an out-house in the corner of the orchard. A key turned
     in a lock, and as he passed in there was a curious scuffling noise
     from within. He was only a minute or so inside, and then I heard the
     key turn once more and he passed me and re-entered the house. I saw
     him rejoin his guest, and I crept quietly back to where my companions
     were waiting to tell them what I had seen."
132,
133,"So as the fog-bank flowed onward we fell back before it until we were
     half a mile from the house, and still that dense white sea, with the
     moon silvering its upper edge, swept slowly and inexorably on."
134,"A sound of quick steps broke the silence of the moor. Crouching among
     the stones we stared intently at the silver-tipped bank in front of
     us. The steps grew louder, and through the fog, as through a curtain,
     there stepped the man whom we were awaiting. He looked round him in
     surprise as he emerged into the clear, starlit night. Then he came
     swiftly along the path, passed close to where we lay, and went on up
     the long slope behind us. As he walked he glanced continually over
     either shoulder, like a man who is ill at ease."
135,
136,"In mere size and strength it was a terrible creature which was lying
     stretched before us. It was not a pure bloodhound and it was not a
     pure mastiff; but it appeared to be a combination of the two--gaunt,
     savage, and as large as a small lioness. Even now, in the stillness
     of death, the huge jaws seemed to be dripping with a bluish flame and
     the small, deep-set, cruel eyes were ringed with fire. I placed my
     hand upon the glowing muzzle, and as I held them up my own fingers
     smouldered and gleamed in the darkness."
137,I said.
138,"He tried to stagger to his feet; but he was still ghastly pale and
     trembling in every limb. We helped him to a rock, where he sat
     shivering with his face buried in his hands."
139,The brute!
140,"Here, Lestrade, your brandy-bottle! Put
     her in the chair! She has fainted from ill-usage and exhaustion."
141,"You bear him no good will, madam,"
142,"Tell us then where
     we shall find him. If you have ever aided him in evil, help us now
     and so atone."
143,"No one could find his way into the Grimpen Mire
     to-night."
144,A dog!
145,"By Jove, a curly-haired spaniel. Poor Mortimer
     will never see his pet again. Well, I do not know that this place
     contains any secret which we have not already fathomed. He could hide
     his hound, but he could not hush its voice, and hence came those
     cries which even in daylight were not pleasant to hear. On an
     emergency he could keep the hound in the out-house at Merripit, but
     it was always a risk, and it was only on the supreme day, which he
     regarded as the end of all his efforts, that he dared do it. This
     paste in the tin is no doubt the luminous mixture with which the
     creature was daubed. It was suggested, of course, by the story of the
     family hell-hound, and by the desire to frighten old Sir Charles to
     death. No wonder the poor devil of a convict ran and screamed, even
     as our friend did, and as we ourselves might have done, when he saw
     such a creature bounding through the darkness of the moor upon his
     track. It was a cunning device, for, apart from the chance of driving
     your victim to his death, what peasant would venture to inquire too
     closely into such a creature should he get sight of it, as many have
     done, upon the moor? I said it in London, Watson, and I say it again
     now, that never yet have we helped to hunt down a more dangerous man
     than he who is lying yonder"
146,"The whole course of events,"
147,"from the point of view of
     the man who called himself Stapleton was simple and direct, although
     to us, who had no means in the beginning of knowing the motives of
     his actions and could only learn part of the facts, it all appeared
     exceedingly complex. I have had the advantage of two conversations
     with Mrs. Stapleton, and the case has now been so entirely cleared up
     that I am not aware that there is anything which has remained a
     secret to us. You will find a few notes upon the matter under the
     heading B in my indexed list of cases."
