number,quote
26,"This story made me think of him at once,"
27,"The facts are so very alike, aren’t they? I suppose the poor girl has confessed now and that is how you know, Sir Henry."
28,"But that is impossible,"
29,They all ate the trifle.
30,"Oh, no,"
31,"The companion was banting, you remember. You never eat anything like trifle if you are banting; and I expect Jones just scraped the hundreds and thousands off his share and left them at the side of his plate. It was a clever idea, but a very wicked one."
32,"It is a very curious thing,"
33,"Well, Aunt Jane, this is one up to you. I can’t think how on earth you managed to hit upon the truth. I should never have thought of the little maid in the kitchen being connected with the case."
34,"No, dear,"
35,"but you don’t know as much of life as I do. A man of that Jones’s type—coarse and jovial. As soon as I heard there was a pretty young girl in the house I felt sure that he would not have left her alone. It is all very distressing and painful, and not a very nice thing to talk about. I can’t tell you the shock it was to Mrs. Hargraves, and a nine days’ wonder in the village."
36,Since then I have never laughed at the people who use the word atmosphere. There is such a thing. There are certain places imbued and saturated with good or evil influences which can make their power felt.
37,"That house, The Larches, is a very unhappy one,"
38,"Old Mr. Smithers lost all his money and had to leave it, then the Carslakes took it and Johnny Carslake fell downstairs and broke his leg and Mrs. Carslake had to go away to the south of France for her health, and now the Burdens have got it and I hear that poor Mr. Burden has got to have an operation almost immediately."
39,"At the moment I am not concerned with theories. It seems to me, excluding the supernatural in which I do not for one moment believe, that that was the only way things could have happened. He stabbed himself, and as he fell his arms flew out, wrenching the dagger from the wound and flinging it far into the zone of the trees. That is, I think, although somewhat unlikely, a possible happening."
40,"I don’t like to say, I am sure,"
41,It all perplexes me very much indeed. But curious things do happen. At Lady Sharpley’s garden party last year the man who was arranging the clock golf tripped over one of the numbers—quite unconscious he was—and didn’t come round for about five minutes.
42,"but he wasn’t stabbed, was he?"
43,"Of course not, dear,"
44,"That is what I am telling you. Of course there is only one way that poor Sir Richard could have been stabbed, but I do wish I knew what caused him to stumble in the first place. Of course, it might have been a tree root. He would be looking at the girl, of course, and when it is moonlight one does trip over things."
45,"It is very sad and I don’t like to think of it. He was a right-handed man, was he not? I mean to stab himself in the left shoulder he must have been. I was always so sorry for poor Jack Baynes in the War. He shot himself in the foot, you remember, after very severe fighting at Arras. He told me about it when I went to see him in hospital, and very ashamed of it he was. I don’t expect this poor man, Elliot Haydon, profited much by his wicked crime."
46,You think he did it?
47,"I don’t see how anyone else could have done it,"
48,"I mean if, as Mr. Petherick so wisely says, one looks at the facts and disregards all that atmosphere of heathen goddesses which I don’t think is very nice. He went up to him first and turned him over, and of course to do that he would have to have had his back to them all, and being dressed as a brigand chief he would be sure to have a weapon of some kind in his belt. I remember dancing with a man dressed as a brigand chief when I was a young girl. He had five kinds of knives and daggers, and I can’t tell you how awkward and uncomfortable it was for his partner."
49,"No. My village is called Polperran. It is situated on the west coast of Cornwall; a very wild and rocky spot. I had been introduced a few weeks previously and had found him a most interesting companion. A man of intelligence and independent means, he was possessed of a romantic imagination. As a result of his latest hobby he had taken the lease of Pol House. He was an authority on Elizabethan times, and he described to me in vivid and graphic language the rout of the Spanish Armada. So enthusiastic was he that one could almost imagine that he had been an eyewitness at the scene. Is there anything in reincarnation? I wonder—I very much wonder."
50,"You are so romantic, Raymond dear,"
51,"Romantic is the last thing that I am,"
52,"Well, go on, Aunt Jane; haven’t you got anything to say?"
53,"In a minute, dear,"
54,"I am afraid I have counted wrong. Two purl, three plain, slip one, two purl—yes, that’s right. What did you say, dear?"
55,"You wouldn’t like my opinion, dear. Young people never do, I notice. It is better to say nothing."
56,"Nonsense, Aunt Jane; out with it."
57,"Well, dear Raymond,"
58,"I do think you should be more careful how you choose your friends. You are so credulous, dear, so easily gulled. I suppose it is being a writer and having so much imagination. All that story about a Spanish galleon! If you were older and had more experience of life you would have been on your guard at once. A man you had known only a few weeks, too!"
59,"Got you this time, Raymond,"
60,"Oh, I saw that at once, dear, although I know nothing about motors,"
61,"People change a wheel, you know—I have often seen them doing it—and, of course, they could take a wheel off Kelvin’s lorry and take it out through the small door into the alley and put it on to Mr. Newman’s lorry and take the lorry out of one gate down to the beach, fill it up with the gold and bring it up through the other gate, and then they must have taken the wheel back and put it back on Mr. Kelvin’s lorry while, I suppose, someone else was tying up Mr. Newman in a ditch. Very uncomfortable for him and probably longer before he was found than he expected. I suppose the man who called himself the gardener attended to that side of the business."
62,"Well, he can’t have been a real gardener, can he?"
63,Gardeners don’t work on Whit Monday. Everybody knows that.
64,"Of course, it is different for me. I mean, we, being women, appreciate the point about clothes. I don’t think it is a fair problem to put to a man. It must have meant a lot of rapid changing. What a wicked woman! And a still more wicked man."
65,"Aunt Jane,"
66,"Miss Marple, I mean, I believe—I do really believe you know the truth."
67,"Well, dear,"
68,"it is much easier for me sitting here quietly than it was for you—and being an artist you are so susceptible to atmosphere, aren’t you? Sitting here with one’s knitting, one just sees the facts. Bloodstains dropped on the pavement from the bathing dress hanging above, and being a red bathing dress, of course, the criminals themselves did not realize it was bloodstained. Poor thing, poor young thing!"
69,"but you do know that I am entirely in the dark still. You and Miss Lemprière seem to know what you are talking about, but we men are still in utter darkness."
70,how do you do it? You have lived such a peaceful life and yet nothing seems to surprise you.
71,"I always find one thing very like another in this world,"
72,"There was Mrs. Green, you know, she buried five children—and every one of them insured. Well, naturally, one began to get suspicious."
73,"No, no, my dear young lady. You need have no fears on that score. The story I am about to tell is a perfectly simple and straightforward one and can be followed by any layman."
74,"No legal quibbles, now,"
75,"Certainly not,"
76,but surely that has nothing to do with the very interesting story that Mr. Petherick has been telling us.
77,"Oh yes, it has,"
78,"It is a catch! And so is Mr. Petherick’s story a catch. So like a lawyer! Ah, my dear old friend!"
79,"I wonder if you really know,"
80,is there anything you do not know?
81,"I knew that as a child,"
82,Played with it too.
83,"I feel rather out of this,"
84,I feel sure that Mr. Petherick has some clever legal legerdemain up his sleeve.
85,"‘I should like to tell you about it, Petherick, in confidence, of course.’

“‘Quite so,’ I replied.

“‘A friend of mine who had expectations from one of his relatives was greatly distressed to find that that relative had thoughts of benefiting a totally unworthy person. My friend, I am afraid, is a trifle unscrupulous in his methods. There was a maid in the house who was greatly devoted to the interests of what I may call the legitimate party. My friend gave her very simple instructions. He gave her a fountain pen, duly filled. She was to place this in a drawer in the writing table in her master’s room, but not the usual drawer where the pen was generally kept. If her master asked her to witness his signature to any document and asked her to bring him his pen, she was to bring him not the right one, but this one which was an exact duplicate of it. That was all she had to do. He gave her no other information. She was a devoted creature and she carried out his instructions faithfully.’

“He broke off and said:

“‘I hope I am not boring you, Petherick.’

“‘Not at all,’ I said. ‘I am keenly interested.’

“Our eyes met.

“‘My friend is, of course, not known to you,’ he said.

“‘Of course not,’ I replied.

“‘Then that is all right,’ said Philip Garrod.

“He paused then said smilingly, ‘You see the point? The pen was filled with what is commonly known as Evanescent Ink—a solution of starch in water to which a few drops of iodine has been added. This makes a deep blue-black fluid, but the writing disappears entirely in four or five days.’"
86,I know it. Many is the time I have played with it as a child.
87,"Now, you are laughing at me, my dears,"
88,You think that because I have lived in this out-of-the-way spot all my life I am not likely to have had any very interesting experiences.
89,Not after the horrible revelations we have heard from you! The cosmopolitan world seems a mild and peaceful place compared with St. Mary Mead.
90,"Well, my dear,"
91,"human nature is much the same everywhere, and, of course, one has opportunities of observing it at close quarters in a village."
92,I hope you don’t mind me calling you Aunt Jane?
93,I don’t know why I do it.
94,"Don’t you, my dear?"
95,"I saw,"
96,"the window of the fishmonger’s shop. There was only one thing in it, a fresh haddock."
97,An answer to prayer—a fresh haddock!
98,"Yes, Raymond,"
99,"and there is no need to be profane about it. The hand of God is everywhere. The first thing I saw were the black spots—the marks of St. Peter’s thumb. That is the legend, you know. St. Peter’s thumb. And that brought things home to me. I needed faith, the ever true faith of St. Peter. I connected the two things together, faith—and fish."
100,"how much we go by what is called, I believe, the context? There is a place on Dartmoor called Grey Wethers. If you were talking to a farmer there and mentioned Grey Wethers, he would probably conclude that you were speaking of these stone circles, yet it is possible that you might be speaking of the atmosphere; and in the same way, if you were meaning the stone circles, an outsider, hearing a fragment of the conversation, might think you meant the weather. So when we repeat a conversation, we don’t, as a rule, repeat the actual words; we put in some other words that seem to us to mean exactly the same thing.

“I saw both the cook and Dorothy separately. I asked the cook if she was quite sure that her master had really mentioned a heap of fish. She said she was quite sure.

“‘Were these his exact words,’ I asked, ‘or did he mention some particular kind of fish?’

“‘That’s it,’ said the cook; ‘it was some particular kind of fish, but I can’t remember what now. A heap of—now what was it? Not any of the fish you send to table. Would it be a perch now—or pike? No. It didn’t begin with a P.’

“Dorothy also recalled that her master had mentioned some special kind of fish. ‘Some outlandish kind of fish it was,’ she said.

“‘A pile of—now what was it?’

“‘Did he say heap or pile?’ I asked.

“‘I think he said pile. But there, I really can’t be sure—it’s so hard to remember the actual words, isn’t it, miss, especially when they don’t seem to make sense. But now I come to think of it, I am pretty sure that it was a pile, and the fish began with C; but it wasn’t a cod or a crayfish.’

“The next part is where I am really proud of myself,"
101,"because, of course, I don’t know anything about drugs—nasty, dangerous things I call them. I have got an old recipe of my grandmother’s for tansy tea that is worth any amount of your drugs. But I knew that there were several medical volumes in the house, and in one of them there was an index of drugs. You see, my idea was that Geoffrey had taken some particular poison, and was trying to say the name of it.

“Well, I looked down the list of H’s, beginning He. Nothing there that sounded likely; then I began on the P’s, and almost at once I came to—what do you think?"
102,"Go on, Aunt Jane, and tell us what was so startlingly clear to you."
103,"I don’t know anything about medicine, of course,"
104,"but I did happen to know this, that when my eyesight was failing, the doctor ordered me drops with atropine sulphate in them. I went straight upstairs to old Mr. Denman’s room. I didn’t beat about the bush.

“‘Mr. Denman,’ I said, ‘I know everything. Why did you poison your son?’

“He looked at me for a minute or two—rather a handsome old man he was, in his way—and then he burst out laughing. It was one of the most vicious laughs I have ever heard. I can assure you it made my flesh creep. I had only heard anything like it once before, when poor Mrs. Jones went off her head.

“‘Yes,’ he said, ‘I got even with Geoffrey. I was too clever for Geoffrey. He was going to put me away, was he? Have me shut up in an asylum? I heard them talking about it. Mabel is a good girl—Mabel stuck up for me, but I knew she wouldn’t be able to stand up against Geoffrey. In the end he would have his own way; he always did. But I settled him—I settled my kind, loving son! Ha, ha! I crept down in the night. It was quite easy. Brewster was away. My dear son was asleep; he had a glass of water by the side of his bed; he always woke up in the middle of the night and drank it off. I poured it away—ha, ha!—and I emptied the bottle of eyedrops into the glass. He would wake up and swill it down before he knew what it was. There was only a tablespoonful of it—quite enough, quite enough. And so he did! They came to me in the morning and broke it to me very gently. They were afraid it would upset me. Ha! Ha! Ha! Ha! Ha!’

“Well,"
105,"that is the end of the story. Of course, the poor old man was put in an asylum. He wasn’t really responsible for what he had done, and the truth was known, and everyone was sorry for Mabel and could not do enough to make up to her for the unjust suspicions they had had. But if it hadn’t been for Geoffrey realizing what the stuff was he had swallowed and trying to get everybody to get hold of the antidote without delay, it might never have been found out. I believe there are very definite symptoms with atropine—dilated pupils of the eyes, and all that; but, of course, as I have said, Dr. Rawlinson was very shortsighted, poor old man. And in the same medical book which I went on reading—and some of it was most interesting—it gave the symptoms of ptomaine poisoning and atropine, and they are not unlike. But I can assure you I have never seen a pile of fresh haddock without thinking of the thumb mark of St. Peter."
106,there is one thing that you don’t know.
107,"Oh, yes, I do, dear,"
108,"It happened just before dinner, didn’t it? When you took Joyce out to admire the sunset. It is a very favourite place, that. There by the jasmine hedge. That is where the milkman asked Annie if he could put up the banns."
109,don’t spoil all the romance. Joyce and I aren’t like the milkman and Annie.
110,"That is where you make a mistake, dear,"
111,"Everybody is very much alike, really. But fortunately, perhaps, they don’t realize it."
112,When you were here last year?
113,"Tell me,"
114,"I went to see Mrs. Pritchard and did my best to ridicule the whole thing; but without success. I came away really concerned, and I remember I met Jean Instow and told her about it. Jean is a queer girl. She said, ‘So she’s really upset about it?’ I told her that I thought the woman was perfectly capable of dying of fright—she was really abnormally superstitious.

“I remember Jean rather startled me with what she said next. She said, ‘Well, that might be all for the best, mightn’t it?’ And she said it so coolly, in so matter-of-fact a tone that I was really—well, shocked. Of course I know it’s done nowadays—to be brutal and outspoken; but I never get used to it. Jean smiled at me rather oddly and said, ‘You don’t like my saying that—but it’s true. What use is Mrs. Pritchard’s life to her? None at all; and it’s hell for George Pritchard. To have his wife frightened out of existence would be the best thing that could happen to him.’ I said, ‘George is most awfully good to her always.’ And she said, ‘Yes, he deserves a reward, poor dear. He’s a very attractive person, George Pritchard. The last nurse thought so—the pretty one—what was her name? Carstairs. That was the cause of the row between her and Mrs. P.’

“Now I didn’t like hearing Jean say that. Of course one had wondered—"
115,"Yes, dear,"
116,One always does. Is Miss Instow a pretty girl? I suppose she plays golf?
117,"Yes. She’s good at all games. And she’s nice-looking, attractive-looking, very fair with a healthy skin, and nice steady blue eyes. Of course we always have felt that she and George Pritchard—I mean if things had been different—they are so well suited to one another."
118,And they were friends?
119,Oh yes. Great friends.
120,"Do you think, Dolly,"
121,One can make guesses; but to guess—
122,Has Mr. Pritchard married Miss Instow?
123,Now why do you ask that?
124,Have they married?
125,"We—well, we expected something of the kind—but it’s eighteen months now. I don’t believe they even see much of each other."
126,"That is important,"
127,Very important.
128,"Then you think the same as I do,"
129,You think—
130,"Don’t be so—so manly, Arthur. Men are always afraid to say anything. Anyway, this is all between ourselves. It’s just a wild fantastic idea of mine that possibly—only possibly—Jean Instow disguised herself as a fortune-teller. Mind you, she may have done it for a joke. I don’t for a minute think that she meant any harm; but if she did do it, and if Mrs. Pritchard was foolish enough to die of fright—well, that’s what Miss Marple meant, wasn’t it?"
131,"No, dear, not quite,"
132,"You see, if I were going to kill anyone—which, of course, I wouldn’t dream of doing for a minute, because it would be very wicked, and besides I don’t like killing—not even wasps, though I know it has to be, and I’m sure the gardener does it as humanely as possible. Let me see, what was I saying?"
133,"Oh yes. Well, if I did, I shouldn’t be at all satisfied to trust to fright. I know one reads of people dying of it, but it seems a very uncertain sort of thing, and the most nervous people are far more brave than one really thinks they are. I should like something definite and certain, and make a thoroughly good plan about it."
134,you frighten me. I hope you will never wish to remove me. Your plans would be too good.
135,"perhaps she wasn’t so far wrong. And mind you, a nurse often knows. She can’t say—she’s got no proof—but she knows."
136,You’re lost in a daydream. Won’t you tell us all about it?
137,I was just thinking about our District Nurse. A most difficult problem.
138,More difficult than the problem of the blue geranium?
139,"It really depends on the primroses,"
140,"I mean, Mrs. Bantry said they were yellow and pink. If it was a pink primrose that turned blue, of course, that fits in perfectly. But if it happened to be a yellow one—"
141,"It was a pink one,"
142,"Then that seems to settle it,"
143,And the wasp season and everything. And of course the gas.
144,"It reminds you, I suppose, of countless village tragedies?"
145,"Not tragedies,"
146,"That’s a most important point, of course."
147,"Rather a bold step to take,"
148,"because Mrs. Pritchard might have recognized her in spite of the disguise—though of course if she had, the nurse could have pretended it was a joke."
149,when you said that if you were a certain person you would not have trusted to fright?
150,"One couldn’t be sure that way,"
151,"No, I think that the warnings and the blue flowers were, if I may use a military term,"
152,just camouflage.
153,And the real thing?
154,"I know,"
155,"that I’ve got wasps on the brain. Poor things, destroyed in their thousands—and usually on such a beautiful summer’s day. But I remember thinking, when I saw the gardener shaking up the cyanide of potassium in a bottle with water, how like smelling salts it looked. And if it were put in a smelling salt bottle and substituted for the real one—well, the poor lady was in the habit of using her smelling salts. Indeed you said they were found by her hand. Then, of course, while Mr. Pritchard went to telephone to the doctor, the nurse would change it for the real bottle, and she’d just turn on the gas a little bit to mask any smell of almonds and in case anyone felt queer, and I always have heard that cyanide leaves no trace if you wait long enough. But, of course I may be wrong, and it may have been something entirely different in the bottle; but that doesn’t really matter, does it?"
156,"But the blue geranium, and the other flowers?"
157,"Nurses always have litmus paper, don’t they?"
158,"for—well, for testing. Not a very pleasant subject. We won’t dwell on it. I have done a little nursing myself."
159,"Blue turns red with acids, and red turns blue with alkalis. So easy to paste some red litmus over a red flower—near the bed, of course. And then, when the poor lady used her smelling salts, the strong ammonia fumes would turn it blue. Really most ingenious. Of course, the geranium wasn’t blue when they first broke into the room—nobody noticed it till afterwards. When nurse changed the bottles, she held the Sal Ammoniac against the wallpaper for a minute, I expect."
160,"You might have been there, Miss Marple,"
161,"What worries me,"
162,"is poor Mr. Pritchard and that nice girl, Miss Instow. Probably both suspecting each other and keeping apart—and life so very short."
163,As a matter of fact I have something up my sleeve. A nurse has been arrested on a charge of murdering an elderly patient who had left her a legacy. It was done with cyanide of potassium substituted for smelling salts. Nurse Copling trying the same trick again. Miss Instow and Mr. Pritchard need have no doubts as to the truth.
164,Now isn’t that nice?
165,"I don’t mean about the new murder, of course. That’s very sad, and shows how much wickedness there is in the world, and that if once you give way—which reminds me I must finish my little conversation with Dr. Lloyd about the village nurse."
166,I always thought so.
167,"Did you, my dear?"
168,"We don’t get much in the creepy line—and still less in the criminal line—in St. Mary Mead, you know, Miss Helier,"
169,"No. As it happens my friend and I were wrong. Nothing in the least exciting happened to the Spanish beauty. She married a clerk in a shipping office, and by the time I left the island she had had five children and was getting very fat."
170,"Just like that girl of Israel Peters,"
171,"The one who went on the stage and had such good legs that they made her principal boy in the pantomime. Everyone said she’d come to no good, but she married a commercial traveller and settled down splendidly."
172,"My dear young lady, what could I do? There was no evidence. The majority of the eyewitnesses told the same story as Miss Barton. I had built up my own suspicions out of a fleeting expression which I might possibly have imagined. The only thing I could and did do was to see that the widest inquiries were made for the relations of Amy Durrant. The next time I was in England I even went and saw the landlady of her room, with the results I have told you."
173,"But you felt there was something wrong,"
174,"Half the time I was ashamed of myself for thinking so. Who was I to go suspecting this nice, pleasant-mannered English lady of a foul and cold-blooded crime? I did my best to be as cordial as possible to her during the short time she stayed on the island. I helped her with the Spanish authorities. I did everything I could do as an Englishman to help a compatriot in a foreign country; and yet I am convinced that she knew I suspected and disliked her."
175,How long did she stay out there?
176,"I think it was about a fortnight. Miss Durrant was buried there, and it must have been about ten days later when she took a boat back to England. The shock had upset her so much that she felt she couldn’t spend the winter there as she had planned. That’s what she said."
177,Did it seem to have upset her?
178,"Well, I don’t know that it affected her appearance at all,"
179,"She didn’t, for instance, grow fatter?"
180,"Do you know—it’s a curious thing your saying that. Now I come to think back, I believe you’re right. She—yes, she did seem, if anything, to be putting on weight."
181,"though I admit it’s only a guess. I suggest that Miss Barton was always mentally unhinged. There are more cases like that than you would imagine. Her mania grew stronger and she began to believe it her duty to rid the world of certain persons—possibly what is termed unfortunate females. Nothing much is known about Miss Durrant’s past. So very possibly she had a past—an ‘unfortunate’ one. Miss Barton learns of this and decides on extermination. Later, the righteousness of her act begins to trouble her and she is overcome by remorse. Her end shows her to be completely unhinged. Now, do say you agree with me, Miss Marple."
182,"I’m afraid I don’t, Sir Henry,"
183,I think her end shows her to have been a very clever and resourceful woman.
184,Oh! I’ve been so stupid. May I guess again? Of course it must have been that. Blackmail! The companion woman was blackmailing her. Only I don’t see why Miss Marple says it was clever of her to kill herself. I can’t see that at all.
185,Ah!
186,"You see, Miss Marple knew a case just like it in St. Mary Mead."
187,"You always laugh at me, Sir Henry,"
188,"I must confess it does remind me, just a little, of old Mrs. Trout. She drew the old age pension, you know, for three old women who were dead, in different parishes."
189,But it doesn’t seem to me to throw any light upon our present problem.
190,"Of course not,"
191,"It wouldn’t—to you. But some of the families were very poor, and the old age pension was a great boon to the children. I know it’s difficult for anyone outside to understand. But what I really meant was that the whole thing hinged upon one old woman being so like any other old woman."
192,It’s the only natural way of thinking of it. Dear Mrs. Bantry began that way just now. Why should the rich employer kill the humble companion? It’s so much more likely to be the other way about. I mean—that’s the way things happen.
193,Is it?
194,"she would have to wear Miss Barton’s clothes, and they would probably be a little tight on her, so that her general appearance would look as though she had got a little fatter. That’s why I asked that question. A gentleman would be sure to think it was the lady who had got fatter, and not the clothes that had got smaller—though that isn’t quite the right way of putting it."
195,"And during that time I expect she travelled, keeping away from anyone who might know her. That’s what I meant by saying that one lady of a certain age looks so like another. I don’t suppose the different photograph on her passport was ever noticed—you know what passports are. And then in March, she went down to this Cornish place and began to act queerly and draw attention to herself so that when people found her clothes on the beach and read her last letter they shouldn’t think of the commonsense conclusion."
196,Which was?
197,"No body,"
198,"That’s the thing that would stare you in the face, if there weren’t such a lot of red herrings to draw you off the trail—including the suggestion of foul play and remorse. No body. That was the real significant fact."
199,do you mean that there wasn’t any remorse? That there wasn’t—that she didn’t drown herself?
200,Not she!
201,"It’s just Mrs. Trout over again. Mrs. Trout was very good at red herrings, but she met her match in me. And I can see through your remorse-driven Miss Barton. Drown herself? Went off to Australia, if I’m any good at guessing."
202,"Undoubtedly you are. Now it again took me quite by surprise. Why, you could have knocked me down with a feather that day in Melbourne."
203,"I was in a very curious position, Mrs. Bantry. Of evidence as the law understands it, I still have very little. Also, there were certain signs, plain to me as a medical man, that though strong and vigorous in appearance, the lady was not long for this world. I went home with her and saw the rest of the family—a charming family, devoted to their eldest sister and without an idea in their heads that she might prove to have committed a crime. Why bring sorrow on them when I could prove nothing? The lady’s admission to me was unheard by anyone else. I let Nature take its course. Miss Amy Barton died six months after my meeting with her. I have often wondered if she was cheerful and unrepentant up to the last."
204,"Surely not,"
205,"I expect so,"
206,Mrs. Trout was.
207,"Well,"
208,"It’s very, very thrilling. I don’t quite understand now who drowned which. And how does this Mrs. Trout come into it?"
209,"She doesn’t, my dear,"
210,She was only a person—not a very nice person—in the village.
211,Aren’t there?
212,Sir Henry! You don’t mean there are?
213,"I should think,"
214,that there must be a very large number.
215,"My dear Miss Marple,"
216,"Of course,"
217,"a lot of people are stupid. And stupid people get found out, whatever they do. But there are quite a number of people who aren’t stupid, and one shudders to think of what they might accomplish unless they had very strongly rooted principles."
218,"But you know, it isn’t really guilt that is important—it’s innocence. That’s the thing that nobody will realize."
219,"I don’t understand,"
220,"I do,"
221,"When Mrs. Trent found half a crown missing from her bag, the person it affected most was the daily woman, Mrs. Arthur. Of course the Trents thought it was her, but being kindly people and knowing she had a large family and a husband who drinks, well—they naturally didn’t want to go to extremes. But they felt differently towards her, and they didn’t leave her in charge of the house when they went away, which made a great difference to her; and other people began to get a feeling about her too. And then it suddenly came out that it was the governess. Mrs. Trent saw her through a door reflected in a mirror. The purest chance—though I prefer to call it Providence. And that, I think, is what Sir Henry means. Most people would be only interested in who took the money, and it turned out to be the most unlikely person—just like in detective stories! But the real person it was life and death to was poor Mrs. Arthur, who had done nothing. That’s what you mean, isn’t it, Sir Henry?"
222,"but I took the precaution of verifying that there was a Mrs. Greene and a Church Social. One can’t be too careful, you know."
223,"That’s what our friend Miss Marple always says,"
224,"You’re lost in a daydream, Miss Marple. What are you thinking out?"
225,I was just wondering why the word Honesty in Dr. Rosen’s letter was spelt with a capital H.
226,"So it is,"
227,Oh!
228,"Yes, dear,"
229,I thought you’d notice!
230,"There’s a definite warning in that letter,"
231,"It seems—oh! I don’t know—it seems queer. Why should he have letters from Germany? Although, of course, if he’s above suspicion, as you say—"
232,"But Sir Henry didn’t say that,"
233,"Yes, Miss Marple. I have learned one thing through bitter experience. Never say to yourself that anyone is above suspicion. I gave you reasons just now why three of these people might after all be guilty, unlikely as it seemed. I did not at that time apply the same process to Charles Templeton. But I came to it at last through pursuing the rule I have just mentioned. And I was forced to recognize this: That every army and every navy and every police force has a certain number of traitors within its ranks, much as we hate to admit the idea. And I examined dispassionately the case against Charles Templeton.

“I asked myself very much the same questions as Miss Helier has just asked. Why should he, alone of all the house, not be able to produce the letter he had received—a letter, moreover, with a German stamp on it. Why should he have letters from Germany?

“The last question was an innocent one, and I actually put it to him. His reply came simply enough. His mother’s sister was married to a German. The letter had been from a German girl cousin. So I learned something I did not know before—that Charles Templeton had relations with people in Germany. And that put him definitely on the list of suspects—very much so. He is my own man—a lad I have always liked and trusted; but in common justice and fairness I must admit that he heads that list.

“But there it is—I do not know! I do not know . . . And in all probability I never shall know. It is not a question of punishing a murderer. It is a question that to me seems a hundred times more important. It is the blighting, perhaps, of an honourable man’s whole career . . . because of suspicion—a suspicion that I dare not disregard."
234,"Then, Sir Henry, if I understand you rightly, it is this young Mr. Templeton only who is so much on your mind?"
235,"And their initial letters spell ‘DEATH,’ explained Miss Marple.

“But the letter came to Dr. Rosen himself,"
236,"That was the clever part of it,"
237,"That and the warning in it. What would he do, getting a letter from someone he didn’t know, full of names he didn’t know. Why, of course, toss it over to his secretary."
238,"Then, after all—"
239,"Oh, no!"
240,"Not the secretary. Why, that’s what makes it so perfectly clear that it wasn’t him. He’d never have let that letter be found if so. And equally he’d never have destroyed a letter to himself with a German stamp on it. Really, his innocence is—if you’ll allow me to use the word—just shining."
241,Then her visit to me—
242,"Gentlemen never see through these things,"
243,"And I’m afraid they often think we old women are—well, cats, to see things the way we do. But there it is. One does know a great deal about one’s own sex, unfortunately. I’ve no doubt there was a barrier between them. The young man felt a sudden inexplicable repulsion. He suspected, purely through instinct, and couldn’t hide the suspicion. And I really think that the girl’s visit to you was just pure spite. She was safe enough really; but she just went out of her way to fix your suspicions definitely on poor Mr. Templeton. You weren’t nearly so sure about him until after her visit."
244,I’m sure it was nothing that she said—
245,"Gentlemen,"
246,never see through these things.
247,And that girl—
248,She commits a cold-blooded murder and gets off scot-free!
249,"Oh! no, Sir Henry,"
