number,quote
49,"I took
     them and the purse and the telegram, intending to have them put in a
     place of safety at the Police Station. It was the merest chance my
     taking these pills, for I am bound to say that I do not attach any
     importance to them."
50,"Give them here,"
51,"Now, Doctor,"
52,"are
     those ordinary pills?"
53,"From their
     lightness and transparency, I should imagine that they are soluble in
     water,"
54,"Precisely so,"
55,"Now would you mind going down and
     fetching that poor little devil of a terrier which has been bad so
     long, and which the landlady wanted you to put out of its pain
     yesterday."
56,"I will now cut one of these pills in two,"
57,"One half we return
     into the box for future purposes. The other half I will place in this
     wine glass, in which is a teaspoonful of water. You perceive that our
     friend, the Doctor, is right, and that it readily dissolves."
58,"we are all ready to acknowledge that you are a
     smart man, and that you have your own methods of working. We want
     something more than mere theory and preaching now, though. It is a
     case of taking the man. I have made my case out, and it seems I was
     wrong. Young Charpentier could not have been engaged in this second
     affair. Lestrade went after his man, Stangerson, and it appears that
     he was wrong too. You have thrown out hints here, and hints there,
     and seem to know more than we do, but the time has come when we feel
     that we have a right to ask you straight how much you do know of the
     business. Can you name the man who did it?"
59,"I have the cab
     downstairs."
60,"Good boy,"
61,"Why don't you introduce this
     pattern at Scotland Yard?"
62,"if we can only
     find the man to put them on."
63,"Very good, very good,"
64,"The cabman may as well
     help me with my boxes. Just ask him to step up, Wiggins."
65,"We have his cab,"
66,"It will serve to take him
     to Scotland Yard. And now, gentlemen,"
67,"I guess you're going
     to take me to the police-station,"
68,"My cab's at the door. If you'll loose my legs I'll walk down to it.
     I'm not so light to lift as I used to be."
69,The way you kept on my trail was a caution.
70,"You had better come with me,"
71,"I can drive you,"
72,"Good! and Gregson can come inside with me. You too, Doctor, you have
     taken an interest in the case and may as well stick to us."
73,
74,"the Inspector remarked gravely,"
75,"He rang the bell as he spoke,
     and Jefferson Hope was led off by a couple of warders, while my
     friend and I made our way out of the Station and took a cab back to
     Baker Street.





          CHAPTER VII
          The Conclusion


     We had all been warned to appear before the magistrates upon the
     Thursday; but when the Thursday came there was no occasion for our
     testimony. A higher Judge had taken the matter in hand, and Jefferson
     Hope had been summoned before a tribunal where strict justice would
     be meted out to him. On the very night after his capture the aneurism
     burst, and he was found in the morning stretched upon the floor of
     the cell, with a placid smile upon his face, as though he had been
     able in his dying moments to look back upon a useful life, and on
     work well done."
76,I ejaculated.
77,"have lost a sensational treat through the
     sudden death of the man Hope, who was suspected of the murder of Mr.
     Enoch Drebber and of Mr. Joseph Stangerson. The details of the case
     will probably be never known now, though we are informed upon good
     authority that the crime was the result of an old standing and
     romantic feud, in which love and Mormonism bore a part. It seems that
     both the victims belonged, in their younger days, to the Latter Day
     Saints, and Hope, the deceased prisoner, hails also from Salt Lake
     City. If the case has had no other effect, it, at least, brings out
     in the most striking manner the efficiency of our detective police
     force, and will serve as a lesson to all foreigners that they will do
     wisely to settle their feuds at home, and not to carry them on to
     British soil. It is an open secret that the credit of this smart
     capture belongs entirely to the well-known Scotland Yard officials,
     Messrs. Lestrade and Gregson. The man was apprehended, it appears, in
     the rooms of a certain Mr. Sherlock Holmes, who has himself, as an
     amateur, shown some talent in the detective line, and who, with such
     instructors, may hope in time to attain to some degree of their
     skill. It is expected that a testimonial of some sort will be
     presented to the two officers as a fitting recognition of their
     services."
78,Didn't I tell you so when we started?
79,"That's the result of all our Study in Scarlet: to get them a
     testimonial!"
