32,"""I have not yet described to you the most singular part. About six years ago--to be exact, upon the 4th of May, 1882--an advertisement appeared in the Times asking for the address of Miss Mary Morstan and stating that it would be to her advantage to come forward. There was no name or address appended. I had at that time just entered the family of Mrs. Cecil Forrester in the capacity of governess. By her advice I published my address in the advertisement column. The same day there arrived through the post a small cardboard box addressed to me, which I found to contain a very large and lustrous pearl. No word of writing was enclosed. Since then every year upon the same date there has always appeared a similar box, containing a similar pearl, without any clue as to the sender. They have been pronounced by an expert to be of a rare variety and of considerable value. You can see for yourselves that they are very handsome."""
33,"""Your statement is most interesting,"" said Sherlock Holmes. ""Has anything else occurred to you?"""
34,"""I should not like to suggest false hopes, Miss Morstan, but is there any resemblance between this hand and that of your father?"""
35,"""I expected to hear you say so. We shall look out for you, then, at six. Pray allow me to keep the papers. I may look into the matter before then. It is only half-past three. Au revoir, then."""
36,"""What a very attractive woman!"" he said, languidly. ""Is she?"""
37,"quote"""
38,""",""I never make exceptions. An exception disproves the rule. Have you ever had occasion to study character in handwriting? What do you make of this fellow's scribble?"""
39,""",""A man of business habits and some force of character."""
40,""",""They hardly rise above the common herd. That d might be an a, and that l an e. Men of character always differentiate their long letters, however illegibly they may write. There is vacillation in his k's and self-esteem in his capitals. I am going out now. I have some few references to make. Let me recommend this book,--one of the most remarkable ever penned. It is Winwood Reade's Martyrdom of Man. I shall be back in an hour."""
41,"then. Captain Morstan disappears. The only person in London whom he could have visited is Major Sholto. Major Sholto denies having heard that he was in London. Four years later Sholto dies. Within a week of his death Captain Morstan's daughter receives a valuable present, which is repeated from year to year, and now culminates in a letter which describes her as a wronged woman. What wrong can it refer to except this deprivation of her father? And why should the presents begin immediately after Sholto's death, unless it is that Sholto's heir knows something of the mystery and desires to make compensation? Have you any alternative theory which will meet the facts?"""
42,"too, should he write a letter now, rather than six years ago? Again, the letter speaks of giving her justice. What justice can she have? It is too much to suppose that her father is still alive. There is no other injustice in her case that you know of."""
43,""",""But our expedition of to-night will solve them all. Ah, here is a four-wheeler, and Miss Morstan is inside. Are you all ready? Then we had better go down, for it is a little past the hour."""
44,""",""The facts appear to admit of only one explanation."""
45,"""Well, that would be"
46,""" said he. ""Now Vincent Square. Now we come out on the Vauxhall Bridge Road. We are making for the Surrey side, apparently. Yes, I thought so. Now we are on the bridge. You can catch glimpses of the river."""
47,""" said my companion. ""Priory Road. Lark Hall Lane. Stockwell Place. Robert Street. Cold Harbor Lane. Our quest does not appear to take us to very fashionable regions."""
48,""" said Holmes, ""whatever you may choose to say will go no further."""
49,"Miss Morstan? Or of Tokay? I keep no other wines. Shall I open a flask? No? Well, then, I trust that you have no objection to tobacco-smoke, to the mild balsamic odor of the Eastern tobacco. I am a little nervous, and I find my hookah an invaluable sedative."""
50,"I might have given you my address, but I feared that you might disregard my request and bring unpleasant people with you. I took the liberty, therefore, of making an appointment in such a way that my man Williams might be able to see you first. I have complete confidence in his discretion, and he had orders, if he were dissatisfied, to proceed no further in the matter."""
51,quote
52,"At the best it must take some time,"""
53,"""That would hardly do,"" he cried."
54,"""I don't know what he would say if I brought you in that"
55,I must prepare you by showing you how we all stand to
56,I must tell you that there are several
57,"""My father was, as you may have guessed, Major John Sholto,"
58,and came to
59,
60,a large collection
61,and a staff of native servants. With these
62,and lived in great luxury. My
63,"""I very well remember the sensation which was caused by the"
64,
65,"knowing that he had been a friend of our father's, we discussed"
66,--that of all
67,"""We did know, however, that some mystery--some positive"
68,
69,"who drove you to-night, was one of them."
70,but he had a most marked aversion to
71,who proved to be a harmless tradesman
72,
73,quote
74,"""You have done well, sir, from first to last."""
75,"""It is possible that we may be able to make you some small return by throwing some light upon that which is still dark to you. But, as Miss Morstan remarked just now, it is late, and we had best put the matter through without delay."""
76,"if all else fails me I have still one of the scientific professions open to me,"""
77,quote
78,"sir, in you come,--you and your friends,"""
79,quote
80,quote
81,""""
82,quote
83,quote
84,"we have not heard what is the matter."""
85,quote
86,quote
87,""""
88,quote
89,"do!"""
90,quote
91,quote
92,"quote"""
93,"this is terrible! What is to be done?"""
94,""""
95,""""
96,"for it is poisoned."""
97,"it clears every instant. I only require a few missing links to have an entirely connected case."""
98,"and I heard him lock the door as I came down-stairs."""
99,"and the police will be called in, and I shall be suspected of having had a hand in it. Oh, yes, I am sure I shall. But you don't think so, gentlemen? Surely you don't think that it was I? Is it likely that I would have brought you here if it were I? Oh, dear! oh, dear! I know that I shall go mad!"""
100,"Mr. Sholto,"""
101,"Watson,"""
102,""""
103,"that your footprints may not complicate matters. Now to work! In the first place, how did these folk come, and how did they go? The door has not been opened since last night. How of the window?"""
104,"and here again upon the floor, and here again by the table. See here, Watson! This is really a very pretty demonstration."""
105,""""
106,"a heavy boot with the broad metal heel, and beside it is the mark of the timber-toe."""
107,--a very able and efficient ally. Could you
108,quote
109,"Here you are, you see. This is a trap-door which leads out on to the roof. I can press it back, and here is the roof itself, sloping at a gentle angle. This, then, is the way by which Number One entered. Let us see if we can find one other traces of his individuality."
110,"I was staggered for the moment, but the thing is quite natural. My memory failed me, or I should have been able to foretell it. There is nothing more to be learned here. Let us go down."
111,"My dear Watson, try a little analysis yourself. You know my methods. Apply them, and it will be instructive to compare results."
112,"I think that there is nothing else of importance here, but I will look. He whipped out his lens and a tape measure, and hurried about the room on his knees, measuring, comparing, examining, with his long thin nose only a few inches from the planks, and his beady eyes gleaming and deep-set like those of a bird. So swift, silent, and furtive were his movements, like those of a trained blood-hound picking out a scent, that I could not but think what a terrible criminal he would have made had he turned his energy and sagacity against the law, instead of exerting them in its defense. As he hunted about, he kept muttering to himself, and finally he broke out into a loud crow of delight."
113,"We are certainly in luck. We ought to have very little trouble now. Number One has had the misfortune to tread in the creosote. You can see the outline of the edge of his small foot here at the side of this evil-smelling mess. The carboy has been cracked, You See, and the stuff has leaked out."
114,"Why, we have got him, that's all. I know a dog that would follow that scent to the world's end. If a pack can track a trailed herring across a shire, how far can a specially-trained hound follow so pungent a smell as this? It sounds like a sum in the rule of three. The answer should give us the--But halloo! here are the accredited representatives of the law."
115,"Before they come, just put your hand here on this poor fellow's arm"
116,"""quote"""
117,"""You are not quite in possession of the facts yet"""
118,"""Confirms it in every respect"""
119,"""He can find something"""
120,"""Il n'y a pas des sots si incommodes que ceux qui ont de l'esprit!"""
121,"""It was I who opened it"""
122,"""Don't promise too much, Mr. Theorist,--don't promise too much!"""
123,"""Not only will I clear him, Mr. Jones, but I will make you a free present of the name and description of one of the two people who were in this room last night"""
124,"""Is a rather curious person"""
125,"""A word with you, Watson"""
126,"""This unexpected occurrence,"""
127,"""No. You must escort her home"""
128,"""Your presence will be of great service to me"""
129,"""When you have dropped Miss Morstan I wish you to go on to No. 3 Pinchin Lane"""
130,"""A dog, I suppose"""
131,"""Yes,--a queer mongrel, with a most amazing power of scent"""
132,"""Wir sind gewohnt, daß die Menschen verhöhnen was sie nicht verstehen."""
133,quote
134,"""Go on, you drunken vagabone,"""
135,"""If you'll let one out it's just what I have come for,"""
136,"""But I want a dog,"""
137,"""Mr. Sherlock Holmes--"""
138,"""A friend of Mr. Sherlock is always welcome,"""
139,"""Ah! that would be Toby."""
140,"""Toby lives at No. 7 on the left here."""
141,"""Ah! that would be Toby."""
142,"""Toby lives at No. 7 on the left here."""
143,"""He wanted a dog of yours."""
144,"""Ah! that would be Toby."""
145,"""Toby was the name."""
146,"""Yes, Toby was the name."""
147,"""Toby lives at No. 7 on the left here."""
148,"""He wanted a dog of yours."""
149,"""Ah! that would be Toby."""
150,"""Toby lives at No. 7 on the left here."""
151,"""Yes, Toby was the name."""
152,"""Toby was the name."""
153,"""Toby was the name."""
154,"""That You, Watson?"""
155,"""This is the place. What is that black thing down there?"""
156,"""Top on it?"""
157,"""No sign of a ladder?"""
158,"""Confound the fellow! It's a most break-neck place. I ought to be able to come down where he could climb up."""
159,"""It was easy to follow him,"""
160,"""Tiles were loosened the whole way along, and in his hurry he had dropped this."""
161,"""They are hellish things,"""
162,"""Look out that you don't prick yourself."""
163,"""I'm delighted to have them, for the chances are that they are all he has."""
164,"""There is the less fear of you or me finding one in our skin before long."""
165,"""I would sooner face a Martini bullet, myself."""
166,"""Are you game for a six-mile trudge, Watson?"""
167,"""Your leg will stand it?"""
168,"""Here you are"
169,quote
170,"""There's the print of wooden-leg's hand,"" he remarked, as I mounted up beside him."
171,"""You see the slight smudge of blood upon the white plaster. What a lucky thing it is that we have had no very heavy rain since yesterday! The scent will lie upon the road in spite of their eight-and-twenty hours' start."""
172,"""Do not imagine,"" said Holmes, ""that I depend for my success in this case upon the mere chance of one of these fellows having put his foot in the chemical. I have knowledge now which would enable me to trace them in many different ways. This, however, is the readiest and, since fortune has put it into our hands, I should be culpable if I neglected it. It has, however, prevented the case from becoming the pretty little intellectual problem which it at one time promised to be. There might have been some credit to be gained out of it, but for this too palpable clue."""
173,"""Pshaw, my dear boy! it was simplicity itself. I don't wish to be theatrical. It is all patent and above-board. Two officers who are in command of a convict-guard learn an important secret as to buried treasure. A map is drawn for them by an Englishman named Jonathan Small. You remember that we saw the name upon the chart in Captain Morstan's possession. He had signed it in behalf of himself and his associates,--the sign of the four, as he somewhat dramatically called it. Aided by this chart, the officers--or one of them--gets the treasure and brings it to England, leaving, we will suppose, some condition under which he received it unfulfilled. Now, then, why did not Jonathan Small get the treasure himself? The answer is obvious. The chart is dated at a time when Morstan was brought into close association with convicts. Jonathan Small did not get the treasure because he and his associates were themselves convicts and could not get away."""
174,"""But that is mere speculation,"" said Holmes."
175,"""It is more than that. It is the only hypothesis which covers the facts. Let us see how it fits in with the sequel. Major Sholto remains at peace for some years, happy in the possession of his treasure. Then he receives a letter from India which gives him a great fright. What was that?"""
176,"""A letter to say that the"
177,quote
178,Are you well up in your Jean Paul?
179,That was like following the brook to the parent lake. He makes one
180,curious but profound remark. It is that the chief proof of man's
181,real greatness lies in his perception of his own smallness.
182,"It argues, you see, a power of comparison and of appreciation"
183,which is in itself a proof of nobility.
184,There is much food for thought in Richter.
185,"You have not a pistol, have you?"
186,It is just possible that we may need something of the sort if we get
187,to their lair.
188,"Jonathan I shall leave to you, but if the other turns"
189,nasty I shall shoot him dead.
190,"He took out his revolver as he spoke,"
191,put it back into the right-hand pocket of his jacket.
192,We had during this time been following the guidance of Toby down
193,the half-rural villa-lined roads which lead to the metropolis.
194,"Now,"
195,"where laborers and dockmen were already astir, and slatternly women"
196,were taking down shutters and brushing door-steps.
197,At the square-topped corner public houses business was just
198,"beginning, and rough-looking men were emerging, rubbing their sleeves"
199,across their beards after their morning wet.
200,Strange dogs sauntered up and stared wonderingly at us as we
201,"passed, but our inimitable Toby looked neither to the right"
202,"nor to the left, but trotted onwards with his nose to the"
203,ground and an occasional eager whine which spoke of a hot scent.
204,"We had traversed Streatham, Brixton, Camberwell, and now found"
205,"ourselves in Kennington Lane, having borne away through the"
206,side-streets to the east of the Oval.
207,The men whom we pursued seemed to have taken a curiously
208,"zigzag road, with the idea probably of escaping observation."
209,They had never kept to the main road if a parallel side-street
210,would serve their turn.
211,quote
212,"""You are frightening yourself about nothing. How could you possibly tell"
213,"""And was this wooden-legged man alone?"""
214,"""I am sorry, Mrs. Smith, for I wanted a steam launch, and I have"
215,"what is her name?"""
216,"""Ah! She's not that old green launch with a yellow line, very broad"
217,"""A black funnel, you say?"""
218,"""Ah, of course. It was the sides which were black. Good-morning, Mrs."
219,Watson. We shall take
220,"""The main thing with people of that sort,"" said Holmes, as we sat in"
221,"""is never to let them think that their"
222,
223,"as it were, you are very likely to get what you want."""
224,"""Employ the police, then."""
225,"""No. I shall probably call Athelney Jones in at the last moment. He"
226,and I should not like to do anything which would
227,"now that we have gone so far."""
228,"""Could we advertise, then, asking for information from wharfingers?"""
229,"""Worse and worse! Our men would know that the chase was hot at their"
230,"and they would be off out of the country. As it is, they are"
231,but as long as they think they are perfectly
232,for his view of the case is sure to push itself into the daily
233,and the runaways will think that every one is off on the wrong
234,"""What are we to do, then?"""
235,"""Take this hansom, drive home, have some breakfast, and get an hour's"
236,"sir,"""
237,""""
238,"owner Mordecai Smith, black with two red streaks, funnel black with a white band. She is down the river somewhere. I want one boy to be at Mordecai Smith's landing-stage opposite Millbank to say if the boat comes back. You must divide it out among yourselves, and do both banks thoroughly. Let me know the moment you have news. Is that all clear?"""
239,"and a guinea to the boy who finds the boat. Here's a day in advance. Now off you go!"""
240,"see everything, overhear every one. I expect to hear before evening that they have spotted her. In the mean while, we can do nothing but await results. We cannot pick up the broken trail until we find either the Aurora or Mr. Mordecai Smith."""
241,"I dare say. Are you going to bed, Holmes?"""
242,"though idleness exhausts me completely. I am going to smoke and to think over this queer business to which my fair client has introduced us. If ever man had an easy task, this of ours ought to be. Wooden-legged men are not so common, but the other man must, I should think, be absolutely unique."""
243,"--to you, anyway. But you must have formed your own opinion. Now, do consider the data. Diminutive footmarks, toes never fettered by boots, naked feet, stone-headed wooden mace, great agility, small poisoned darts. What do you make of all this?"""
244,"but none could have left such marks as that. The Hindoo proper has long and thin feet. The sandal-wearing Mohammedan has the great toe well separated from the others, because the thong is commonly passed between. These little darts, too, could only be shot"
245,quote
246,"""It is for Mr. Thaddeus Sholto that I am anxious,"""
247,"""Nothing else is of any consequence; but I think that he has behaved most kindly and honorably throughout. It is our duty to clear him of this dreadful and unfounded charge."""
248,"""No; you can be much more useful if you will remain here as my representative. I am loath to go, for it is quite on the cards that some message may come during the day, though Wiggins was despondent about it last night. I want you to open all notes and telegrams, and to act on your own judgment if any news should come. Can I rely upon you?"""
249,"""I am afraid that you will not be able to wire to me, for I can hardly tell yet where I may find myself. If I am in luck, however, I may not be gone so very long. I shall have news of some sort or other before I get back."""
250,"""I am off down the river, Watson,"""
251,"""With reference to the Upper Norwood tragedy,"""
252,"""That is satisfactory so far as it goes,"""
253,"""I am afraid that you will not be able to wire to me, for I can hardly tell yet where I may find myself."""
254,quote
255,I think that you might offer me a cigar too
256,"Here is the old man,--wig, whiskers, eyebrows, and all. I thought my disguise was pretty good, but I hardly expected that it would stand that test."
257,"I have been working in that get-up all day, You see, a good many of the criminal classes begin to know me,--especially since our friend here took to publishing some of my cases: so I can only go on the war-path under some simple disguise like this. You got my wire?"
258,How has your case prospered?
259,"Well, then, in the first place I shall want a fast police-boat--a steam launch--to be at the Westminster Stairs at seven o'clock."
260,"Then I shall want two stanch men, in case of resistance."
261,"When we secure the men we shall get the treasure. I think that it would be a pleasure to my friend here to take the box round to the young lady to whom half of it rightfully belongs. Let her be the first to open it.--Eh, Watson?"
262,"Rather an irregular proceeding,"" said Jones, shaking his head. ""However, the whole thing is irregular, and I suppose we must wink at it. The treasure must afterwards be handed over to the authorities until after the official investigation."""
263,Certainly. That is easily managed. One other point. I should much like to have a few details about this matter from the lips of Jonathan Small yourself. You know I like to work the detail of my
264,quote
265,"""Well, you are master of the situation. I have had no proof yet of"
266,if you can catch him I
267,"""That is understood, then?"""
268,"""Only that I insist upon your dining with us. It will be ready in"
269,with something a
270,you have never yet recognized
271,"""Our meal was a merry one. He appeared to be in a state of"
272,"--on miracle-plays, on medieval"
273,"on Stradivarius violins, on the Buddhism of Ceylon, and on"
274,--handling each as though he had made a
275,and face his dinner with
276,I felt elated at the thought
277,and I caught something of
278,"""One bumper,"" said he, ""to the success of"
279,"Watson?"""
280,"""You had best take it, then. It is well to be prepared. I see that"
281,"""Is there anything to mark it as a police-boat?"""
282,"""Then take it off."""
283,"""Where to?"" asked Jones."
284,"""To the Tower. Tell them to stop opposite Jacobson's Yard."""
285,"""We ought to be able to catch anything on the river,"" he said."
286,"""Well, hardly that. But there are not many launches to beat us."""
287,"""We shall have to catch the Aurora, and she has a name for being a"
288,quote
289,"""In that case I should have wasted my day. I think that it is a hundred to one against Smith knowing where they live. As long as he has liquor and good pay, why should he ask questions? They send him messages what to do. No, I thought over every possible course, and this is the best."""
290,"""That is Jacobson's Yard,"" said Holmes, pointing to a bristle of masts and rigging on the Surrey side. ""Cruise gently up and down here under cover of this string of lighters."" He took a pair of night-glasses from his pocket and gazed some time at the shore. ""I see my sentry at his post,"" he remarked, ""but no sign of a handkerchief."""
291,"""We have no right to take anything for granted,"" Holmes answered. ""It is certainly ten to one that they go down-stream, but we cannot be certain. From this point we can see the entrance of the yard, and they can hardly see us. It will be a clear night and plenty of light. We must stay where we are. See how the folk swarm over yonder in the gaslight."""
292,"""Dirty-looking rascals, but I suppose every one has some little immortal spark concealed about him. You would not think it, to look at them. There is no a priori probability about it. A strange enigma is man!"""
293,"""Winwood Reade is good upon the subject,"" said Holmes. ""He remarks that, while the individual man is an insoluble puzzle, in the aggregate he becomes a mathematical certainty. You can, for example, never foretell what any one man will do, but you can say with precision what an average number will be up to. Individuals vary, but percentages remain constant. So says the statistician. But do I see a handkerchief? Surely there is a white flutter over yonder."""
294,"""And there is the Aurora,"" exclaimed Holmes, ""and going like the devil! Full speed ahead, engineer. Make after that launch with the yellow light. By heaven, I shall never forgive myself if she proves to have the heels of us!"""
295,"""Fire if he raises his hand,"" said Holmes, quietly."
296,quote
297,""" See here,"" said Holmes, pointing to the wooden hatchway. ""We were hardly quick enough with our pistols."""
298,but I confess that it turned me sick to think of the horrible death which had passed so close to us that night.
299,"Jonathan Small,"" said Holmes, lighting a cigar, ""I am sorry that it has come to this."""
300,"sir,"" he answered, frankly. ""I don't believe that I can swing over the job. I give you my word on the book that I never raised hand against Mr. Sholto. It was that little hell-hound Tonga who shot one of his cursed darts into him. I had no part in it, sir. I was as grieved as if it had been my blood-relation. I welted the little devil with the slack end of the rope for it, but it was done, and I could not undo it again."""
301,""" said Holmes; ""and you had best take a pull out of my flask, for you are very wet. How could you expect so small and weak a man as this black fellow to overpower Mr. Sholto and hold him while you were climbing the rope?"""
302,"sir. The truth is that I hoped to find the room clear. I knew the habits of the house pretty well, and it was the time when Mr. Sholto usually went down to his supper. I shall make no secret of the business. The best defence that I can make is just the simple truth. Now, if it had been the old major I would have swung for him with a light heart. I would have thought no more of knifing him than of smoking this cigar. But it's cursed hard that I should be lagged over this young Sholto, with whom I had no quarrel whatever."""
303,"of Scotland Yard. He is going to bring you up to my rooms, and I shall ask you for a true account of the matter. You must make a clean breast of it, for if you do I hope that I may be of use to you.  I think I can prove that the poison acts so quickly that the man was dead before ever you reached the room."""
304,sir. I never got such a turn in my
305,quote
306,"I have brought something better than news, I have brought you something which is worth all the news in the world. I have brought you a fortune."
307,"No, no, not to me, but to my friend Sherlock Holmes. With all the will in the world, I could never have followed up a clue which has taxed even his analytical genius.  As it was, we very nearly lost it at the last moment."
308,"Because you are within my reach again, I said, because I love you, Mary, as truly as ever a man loved a woman. Because this treasure, these riches, sealed my lips. Now that they are gone I can tell you how I love you. That is why I said, 'Thank God.'"
309,"Then I say, 'Thank God,' too, she whispered, as I drew her to my side."
310,quote
311,quote
312,"""The city of Agra is a great place, swarming with fanatics and fierce devil-worshippers of all sorts. Our handful of men were lost among the narrow, winding streets. Our leader moved across the river, therefore, and took up his position in the old fort at Agra. I don't know if any of you gentlemen have ever read or heard anything of that old fort. It is a very queer place,--the queerest that ever I was in, and I have been in some rum corners, too."""
313,"""The river washes along the front of the old fort, and so protects it, but on the sides and behind there are many doors, and these had to be guarded, of course, in the old quarter as well as in that which was actually held by our troops. We were short-handed, with hardly men enough to man the angles of the building and to serve the guns. It was impossible for us, therefore, to station a strong guard at every one of the innumerable gates. What we did was to organize a central guard-house in the middle of the fort, and to leave each gate under the charge of one white man and two or three natives. I was selected to take charge during certain hours of the night of a small isolated door upon the southwest side of the building. Two Sikh troopers were placed under my command, and I was instructed if anything went wrong to fire my musket, when I might rely upon help coming at once from the central guard. As the guard was a good two hundred paces away, however, and as the space between was cut up into a labyrinth of passages and corridors, I had great doubts as to whether they could arrive in time to be of any use in case of an actual attack."""
314,"""Well, I was pretty proud at having this small command given me, since I was a raw recruit, and a game-legged one at that. For two nights I kept the watch with my Punjaubees. They were tall, fierce-looking chaps, Mahomet Singh and Abdullah Khan by name, both old fighting-men who had borne arms against us at Chilian-wallah. They could talk English pretty well, but I could get little out of them. They preferred to stand together and jabber all night in their queer Sikh lingo. For myself, I used to stand outside the gate-way, looking down on the broad, winding river and on the twinkling lights of the"
315,quote
316,"'There are but three,'"
317,'No; Dost Akbar must have his share. We can tell the tale to you
318,"'There is a rajah in the northern provinces who has much wealth,"
319,and
320,for he is of a low nature and
321,'When the troubles broke out he would be friends both with the lion
322,"--with the Sepoy and with the Company's raj. Soon, however,"
323,for through all the land
324,'That which was in gold and silver he kept by him in the vaults
325,but the most precious stones and the choicest pearls that
326,"and sent it by a trusty servant who,"
327,"should take it to the fort at Agra, there"
328,"'This pretended merchant, who travels under the name of"
329,"is now in the city of Agra, and desires to gain his way into"
330,'He has with him as travelling-companion my foster-brother
331,who knows his secret.
332,'Dost Akbar has promised this night to lead him to a side-postern
333,and has chosen this one for his purpose.
334,"'The place is lonely, and none shall know of his coming."
335,"'You will challenge him, Sahib, as usual, give him no cause for"
336,'Take him to the main guard.
337,'Who goes there?'
338,"''Friends,'"
339,"''Your protection, Sahib, your protection for the unhappy merchant"
340,''What have you in the bundle?'
341,"''An iron box, which contains one or two little family matters"
342,but which I should be sorry to lose.
343,''Take him to the main guard.
344,quote
345,"""It was all very bad, no doubt. I should like to know how many fellows in my shoes would have refused a share of this loot when they knew that they would have their throats cut for their pains. Besides, it was my life or his when once he was in the fort. If he had got out, the whole business would come to light, and I should have been court-martialled and shot as likely as not; for people were not very lenient at a time like that."""
346,"""Go on with your story,"""
347,quote
348,"'It's all up, Morstan,' he was saying, as they passed my hut. 'I shall have to send in my papers. I am a ruined man.'"
349,"'Nonsense, old chap!' said the other, slapping him upon the shoulder. 'I've had a nasty facer myself, but--'"
350,"'I wish to have your advice, major,' said I."
351,"'Well, Small, what is it?' he asked, taking his cheroot from his lips."
352,"'I wanted to ask you, sir,' said I, 'who is the proper person to whom hidden treasure should be handed over. I know where half a million worth lies, and, as I cannot use it myself, I thought perhaps the best thing that I could do would be to hand it over to the proper authorities, and then perhaps they would get my sentence shortened for me.'"
353,"'Half a million, Small?' he gasped, looking hard at me to see if I was in earnest."
354,"'To government, Small,' he stammered,--'to government.' But he said it in a halting fashion, and I knew in my heart that I had got him."
355,"'You think, then, sir, that I should give the information to the Governor-General?' said I, quietly."
356,"'Well, well, you must not do anything rash, or that you might repent. Let me hear all about it, Small. Give me the facts.'"
357,"'This is a very important matter, Small,' he said, at last. 'You must not say a word to any one about it, and I shall see you again soon.'"
358,"'I want you just to let Captain Morstan hear that story from your own lips, Small,' said he."
359,"'Look here, Small,' said the major, 'we have been talking it over, my friend here and I, and we have come to the conclusion that this secret of yours is hardly a government matter, after all, but is a private concern of your own, which of course you have the power of disposing of as you think best. Now, the question is, what price would you ask for it? We might be inclined to take it up, and at least look into it, if we could agree as to terms"
360,quote
361,"Well, gentlemen, I weary you with my long story, and I know that my friend Mr. Jones is impatient to get me safely stowed in chokey. I'll make it as short as I can. The villain Sholto went off to India, but he never came back again."
362,"""Well, I have set my mind on many things in this life, and never one which I did not carry out. But it was weary years before my time came. I have told you that I had picked up something of medicine. One day when Dr. Somerton was down with a fever a little Andaman Islander was picked up by a convict-gang in the woods. He was sick to death, and had gone to a lonely place to die. I took him in hand, though he was as venomous as a young snake, and after a couple of months I got him all right and able to walk. He took a kind of fancy to me then, and would hardly go back to his woods, but was always hanging about my hut. I learned a little of his lingo from him, and this made him all the fonder of me."
363,"""Tonga--for that was his name--was a fine boatman, and owned a big, roomy canoe of his own. When I found that he was devoted to me and would do anything to serve me, I saw my chance of escape. I talked it over with him. He was to bring his boat round on a certain night to an old wharf which was never guarded, and there he was to pick me up. I gave him directions to have several gourds of water and a lot of yams, cocoa-nuts, and sweet potatoes."
364,"""He was stanch and true, was little Tonga. No man ever had a more faithful mate. At the night named he had his boat at the wharf. As it chanced, however, there was one of the convict-guard down there,--a vile Pathan who had never missed a chance of insulting and injuring me. I had always vowed vengeance, and now I had my chance. It was as if fate had placed him in my way that I might pay my debt before I left the island. He stood on the bank with his back to me, and his carbine on his shoulder. I looked about for a stone to beat out his brains with, but none could I"
365,quote
366,"""A very remarkable account,"" said Sherlock Holmes. ""A fitting wind-up to an extremely interesting case. There is nothing at all new to me in the latter part of your narrative, except that you brought your own rope. That I did not know. By the way, I had hoped that Tonga had lost all his darts; yet he managed to shoot one at us in the boat."""
367,"""Ah, of course,"" said Holmes. ""I had not thought of that."""
368,"""For me,"" said Sherlock Holmes, ""there still remains the cocaine-bottle."" And he stretched his long white hand up for it"
