quote,character
"“See here, it was like this… There was something in that case—some piece of evidence, slight in itself perhaps, but still enough of a clue to connect the murderer with the crime. It was vital to him that it should be destroyed before it was discovered and its significance appreciated. For him to take that risk, the great risk, of coming in here. Finding the case locked, he was obliged to force it, thus betraying his presence. For him to take that risk, it must have been something of great importance.”",hastings
"Poirot,”",hastings
""" I said grinning.",hastings
"""No—no, not of you. It was something else. She spoke so quietly and sensibly to begin with—a natural resentment at the terms of the will, perhaps, but otherwise she seemed so resigned and willing to leave things as they are. It seemed the natural attitude of a well-bred but rather apathetic woman. And then that sudden change—the eagerness with which she came over to Dr. Tanios’ point of view. The way she came out into the hall after us—the—almost furtive way—""",hastings
"""Yes. But it was only one of many moods. You didn’t make that clear.""",hastings
"You are really offensive sometimes, Hastings. Anybody would think I enjoyed telling lies.",hastings
"“Splendid,” said Japp heartily. “Now let’s get down to brass tacks. You’d like to hear what I’ve been doing?”",hastings
"Nothing that you could tell me would be any surprise to me, Poirot. Understand that. But in case you think of resuming your search for Miss Duveen, I should like you to know one thing clearly. If you have any idea that she was concerned in the crime, or was the mysterious lady who called upon Mr. Renauld that night, you are wrong. I travelled home from France with her that day, and parted from her at Victoria that evening, so that it is clearly impossible for her to have been in Merlinville.",hastings
“What about last night? Did Norton tell you what he saw that day?”,hastings
“But look here—wait a minute—I can’t. Nobody’s allowed in. They’re awfully strict.”,hastings
"""I don’t think—""",hastings
"indade. It’s years now that I’ve been wanting to do it. And there I was on a roof in Dublin and who should I see coming down the street but my brother and I there with a rifle in my hand. A lovely shot it was, though I say it myself. Picked him off as clean as a bird. Ah, it was a foine moment, that, and I’ll never forget it!’”",hastings
"“The person’s breath may be phosphorescent before he feels in any way affected. That is what Miss Lawson and the Misses Tripp saw in the dark—Miss Arundell’s phosphorescent breath—‘a luminous haze.’ And here I will read you again. The jaundice having thoroughly pronounced itself, the system may be considered as not only under the influence of the toxic action of phosphorus, but as suffering in addition from all the accidents incidental to the retention of the biliary secretion in the blood, nor is there from this point any special difference between phosphorus poisoning and certain affections of the liver—such for example as yellow atrophy.”",hastings
"No,” he said quickly. “That was not the reason for Mrs. Cavendish’s presence. There is only one person who could have destroyed the will.",hastings
"There is something to be said for the old days,",hastings
"it is not easy, Hastings. We cannot watch over her day and night—we cannot even send a policeman in big boots to watch over her. We cannot pass the night in a young lady’s sleeping chamber. The affair bristles with difficulties.",hastings
"I am not particularly hopeful. This man, this unknown X, obviously prides himself on his abilities. He is not likely to blaze a trail that can be followed straight away.""",hastings
"That poor dear girl, In a nursing home, you say? Had a complete breakdown, I shouldn’t wonder. A dreadful business, M. Poirot—perfectly dreadful. An innocent girl like that shot dead. It doesn’t bear thinking about—it doesn’t indeed. And no lawless wild part of the world either. Right here in the heart of the old country. Kept me awake all night, it did.",hastings
About D?,hastings
"Pas tout à fait, madame. One thing more: did M. Halliday make any mention of his plans for the evening?",hastings
"Is he lying, do you think?",hastings
"Hercule Poirot, know the truth. I am not going to ask you to accept my word for it. Take this.""",hastings
"""He’s the soul of honour. I’m certain of it.""",hastings
"Hercule Poirot! Since those days he had been my dearest friend, his influence had moulded my life.",hastings
"Her illness came on suddenly, did it?",hastings
"""What a pigheaded old devil you are. He’d keep the secret all right.""",hastings
"""Tell me, Hastings, you yourself—have you no suspicions of anybody?""",hastings
“And the note was from this third person?”,hastings
“Do you really think so?”,hastings
"“Wait,”",hastings
"""Why, she was devoted to her!""",hastings
"“Madame Renauld’s, of course. That is where la mauvaise chance came in. Her hair, dark originally, is almost completely silvered. It might just as easily have been a grey hair—and then, by no conceivable effort could Giraud have persuaded himself it came from the head of Jack Renauld! But it is all of a piece. Always the facts must be twisted to fit the theory!”",hastings
"""“Twenty minutes,”",hastings
“I will tell you tomorrow. I have much on which I wish to reflect.”,hastings
“You needn’t be grieved about that young man. He richly deserves all he gets.”,hastings
"“You are regarding it from the sentimental standpoint, Hastings. That was not my meaning. We will hope that Mademoiselle Bella will be dealt with leniently, and after all Jack Renauld cannot marry both the girls! I spoke from a professional standpoint. This is not a crime well-ordered and regular, such as a detective delights in. The mise en scène designed by Georges Conneau, that indeed is perfect, but the dénouement—ah, no! A man killed by accident in a girl’s",hastings
"""How many people do you poison?”",hastings
"Captain Hastings. I ask you again, will you write this letter?""",hastings
"""I begin to comprehend. Go on.""",hastings
No mouse in that mousehole,hastings
"""Yes. I've had a tiresome telephone call from the architect, some building difficulty—a local surveyor cutting up rough. Also worrying letters. And he was afraid he'd let Mrs. Franklin overdo herself the day before.""",hastings
listing information about the publisher and their locations.,hastings
“Not in connection with Li Chang Yen.”,hastings
"mon ami—I have been blind, deaf, insensible. Now I see the answers to all those questions—yes, all five of",hastings
"No, no. Not another proverb. I cannot bear it.",hastings
"Poirot,” I protested. “Must you—”",hastings
"the words came so naturally.""",hastings
” said Japp.,hastings
"mon ami. It was just that—something came to me. There, at that moment.”",hastings
"""“He’s a criminal,”",hastings
"""No. But I think he will find it hard to prove his innocence.""",hastings
"""You have always the tenderness for him, Hastings.""",hastings
"the brave Dorcas! We will look at the chest, although—but no matter—we will examine it all the same.""",hastings
there are no direct dialogue lines spoken by Hastings in the given text.,hastings
But why should he shield her?”,hastings
"""Don't be a fool, Rex!""",hastings
"""I think the whole thing is perfectly marvellous. Too, too thrilling.""",hastings
"“Have a good look round, Mr. Poirot, and see all there is to be seen. I’ll be back in about ten minutes. By the way, here’s Grant’s boot. I brought it along with me for you to compare the impressions.”",hastings
All this must have been a terrible shock to you all.,hastings
“It will be so well hidden that neither you nor I will find it.”,hastings
"""“Not after that fragment of conversation you overheard between Mrs. Cavendish and her mother-in-law, and her subsequent lack of frankness at the inquest?”",hastings
"“Well, if that doesn’t beat the band! Tote me round. I want to see all the horrors.”",hastings
"""If you want Dr. Graham—""",hastings
"” “Not quite so simple as you think.” He nodded his head several times. Then he went on: “You see, I know one little thing which you do not.”",hastings
"""Good watchdog, aren’t I?”",hastings
"Hastings. Yes, I think there is…""",hastings
"""It is a point in his favour,"" my friend said absentmindedly. “But that does not concern us for the moment.”",hastings
"no, everything cannot be a coincidence. Six months ago, a letter was suppressed. Why? There are too many things here unexplained. There must be some reason linking them together.”",hastings
"She obtained a double supply of chloral hydrate at the chemist’s, forging her husband’s name to the prescription.",hastings
"“Well, you see, M. Poirot, I really feel it’s my duty. But of course, it’s all very difficult. This is a very small flat and there’s no room—and what with one thing and another.”",hastings
“Miss Grey?”,hastings
"“Well, I’m glad I showed it to you anyway. Here come the girls. We’d better be off.”",hastings
“I must confess that the conclusions I drew from those few scribbled words were quite erroneous.”,hastings
“Yes. She’s better.”,hastings
"""Well, everybody, more or less. They were saying good-bye to Mrs. Widburn. I didn’t notice particularly.""",hastings
"""What would you really choose as a profession, if you could just consult your inclination?""",hastings
Don’t look so upset. Let’s talk about something else.,hastings
"""Well, really, Poirot,"" I burst out. “I don’t think you’ve distinguished yourself this time. Surely your questions were very inadequate.”",hastings
"""That’s your theory, M. Poirot. Mysterious Man-in-the-Background. That Man-in-the-Background’s a myth. I don’t say she mayn’t have been waiting for someone—that’s possible. She may have made an appointment to meet someone there after her business with his lordship was settled satisfactorily. Well, we know what happened. She lost her head and stabbed him. But she’s not one to lose her head for long. She changes her appearance at the station, gets out the case, goes to the rendezvous, and then what they call the ‘reaction’ gets her. Horror of what she’d done. And when her friend doesn’t turn up, that finished her. He may be someone who knew she was going to Regent Gate that evening. She feels the game’s up. So she takes out her little box of dope. An overdose of that and it’ll be all over. At any rate she won’t be hanged. Why, it’s as plain as the nose on your face.""",hastings
"I think you'll find it's not a pleasant job.""",hastings
"“Well, I’d rather like to have a look at Giraud, if he’s anywhere about, and see what he’s up to.”",hastings
"I need hardly say that one of my first actions on reaching England was to look up my old friend, Hercule Poirot.",hastings
Sent you away?,hastings
"Indeed. It is near the window, this cupboard?",hastings
"""“Mary”—his voice was very quiet now—“are you in love with this fellow Bauerstein?”",hastings
Where are we going?,hastings
"I comprehend. What of the relations of the poor young lady?""",hastings
“He was never one for writing. Never wrote me a line in his life.”,hastings
"Hastings. It is to serve me that you remain on here. And your wife—little Cinderella as you call her, what does she say?""",hastings
“My friend? He is here?”,hastings
"No, no, you do not understand. She is safe and well. She has never been in their hands for one instant.",hastings
"“Well, what is it?”",hastings
“I see only one.”,hastings
""" I mused, ""and where are we? You know, Poirot, I can’t help thinking that we ought to—well, to do something.""",hastings
"” “What does all this mean, Poirot?”",hastings
"Hastings,"" as I came forward, ""the nail is not there now. But the hole remains.""",hastings
"Poirot, I’m tired of these jokes about my speaking countenance. It’s not funny.""",hastings
"“And the horse and trap, sir—how could you tell that? Any amount of wheeled vehicles have passed along outside. There’s no mark of one in particular to be seen.”",hastings
"but I saw. Do you know, my friend, I remembered that earlier in the morning, when we had been there together, I had straightened all the objects on the mantelpiece. And, if they were already straightened, there would be no need to straighten them again, unless, in the meantime, someone else had touched them.”",hastings
"""But when are you going?""",hastings
"""In that case, you must allow for eight people, not seven.""",hastings
"“By Jove, Poirot,”",hastings
"make my bow, and walk off the stage.""",hastings
"” “Surely, it is obvious!”",hastings
"""This is a very pleasant meeting for me, Miss Cynthia. This is my old friend, Monsieur Poirot, whom I have not seen for years.""",hastings
"“Oh, I’m sure, if I can—anything I can do—”",hastings
"“There is one inference I think we might draw,”",hastings
"""If he had only said a little more to me,""",hastings
"but private letters—""",hastings
” I agreed. “That is so.”,hastings
I have succeeded—but succeeded to a marvel!,hastings
” “But why did you take it?”,hastings
"I see by this,”,“Shall you call upon him, and make your apologies in person?”",hastings
Will you come in?,hastings
“Talk of the devil?”,hastings
"no, far too modern. These girls nowadays always seem embarrassed at having to admit to a father or mother at all.""",hastings
"Boyd Carrington, “Don’t worry, old chap. It’s all no good—I see that now. You can’t control your children’s lives. I’m through.”",hastings
"poor little M. Poirot. The way he’s been looking forward to your coming. It would melt a heart of stone. Terribly sorry I am for him, suffering the way he does.""",hastings
"""I thank you, no.”",hastings
"At any rate, he's doing something",hastings
"""Boyd Carrington, as I have said, looked uncomfortable and rather guilty. He seemed to think that he had been rather over-exuberant the day before and had been selfish in not thinking more of the frail health of his companion.""",hastings
"""“No right? Have I no right, Mary?”",hastings
"” Poirot continued. “And he will be able, at his leisure, to come back and destroy this solitary piece of evidence against him.”",hastings
"water, I should think,” I replied with a shudder. “Or nonalcoholic cider. It was that kind of place! I bet there’s no bath and no sanitation except an E.C. in the garden!”",hastings
"there was a man ready to his hand. Everybody was predisposed to believe in Mr. Inglethorp’s guilt. It was a foregone conclusion that he would be suspected; but, to make it a sure thing there must be tangible proof—such as the actual buying of the poison, and that, with a man of the peculiar appearance of Mr. Inglethorp, was not difficult.”",hastings
"that is curious. But in all probability it is thrown on top of a bookcase, or inside a china jar. We must try to awaken Mademoiselle’s memory on that point. At any rate, there is nothing more to be found here.""",hastings
"“A beautiful room this,”",hastings
So Nick said.,hastings
“Did you never hear her mention anyone who had a grudge against her?”,hastings
"""I am quite certain that he is not. Nevertheless, it is there that I must look for him. You do not understand, but I will explain it all to you in",hastings
"""“It’s the same thing.”",hastings
Why do those words always move one so profoundly?,hastings
That’s why I suspected it might have been a plant on the part of the Big Four.,hastings
"""Now don’t be sarcastic,""",hastings
in an orderly and lucid fashion.,hastings
"white to the lips.""",hastings
"He’s very attractive. Any woman would think so. Men, of course, wouldn’t see it.",hastings
""" I replied with some ill humour. ""I neither see nor comprehend. You make all these confounded mysteries, and it’s useless asking you to explain. You always like keeping something up your sleeve to the last minute.""",hastings
"that wide experience of life and of places that made him excellent company. He told me stories of his administrative days in India, some intriguing details of East African tribal lore, and was altogether so interesting that I was quite taken out of myself and forgot my worries about Judith and the deep anxieties that Poirot’s revelations had given me.",hastings
"“My father left us thirty thousand pounds each. The interest on that, safely invested, amounts to about twelve hundred a year. Income tax takes another wedge off it. A nice little income on which one can manage very prettily. But I—” her voice changed, her slim body straightened, her head went back—all that wonderful aliveness I had sensed in her came to the fore—“but I want something better than that out of life! I want the best! The best food, the best clothes—something with line to it—beauty—not just suitable covering in the prevailing fashion. I want to live and enjoy—to go to the Mediterranean and lie in the warm summer sea—to sit round a table and play with exciting wads of money—to give parties—wild, absurd, extravagant parties—I want everything that’s going in this rotten world—and I don’t want it some day—I want it now!”",hastings
"Hastings, go. It is, I believe, a most handsome property. You should certainly see it.""",hastings
"“For the matter of that, what are you?”",hastings
Yes—it must have been her. Because by no other means can you account for the fact that on the hottest day of the year Mrs. Inglethorp ordered a fire to be lighted in her room.,hastings
"""You see,"" said Nick, accusingly.",hastings
"“And see,”",hastings
"""The American Soap King?""",hastings
"One cup, then, had disappeared and it was Mademoiselle Cynthia’s, I knew, because she did not take sugar in her coffee, whereas all the others did and the cups I had found had all contained sugar.",hastings
"and what’s more, you daren’t kill me. You’d have the police on your tracks in no time.”",hastings
"“The case is ended. Yes, it is ended. There are only some loose ends to be tied. Go down to breakfast, my friend. And as you go, send Curtiss to me.”",hastings
"""I do not know,” said Poirot. “But one thing does strike me. No doubt it has struck you too.”",hastings
"""That man means mischief.""",hastings
"It is all exactly as you thought, Poirot",hastings
“Quite so.”,hastings
I think she is rather a fool.,hastings
She is a very resolute woman and she was wildly jealous of her husband and she determined to get hold of that paper at all costs and made her plans accordingly.,hastings
“Afraid of what?”,hastings
"“Really? Is that so, mon ami?”",hastings
POIROT DISCUSSES THE CASE,hastings
"""On the contrary, I prefer to think of what a joyful surprise I prepare for him. To think the loved one dead—and find her alive! It is a sensation unique—stupendous.""",hastings
"""Nothing—nothing wrong, sir?""",hastings
"""It has happened.""",hastings
"“You see the cleverness of that? Miss Arundell has suffered for years from liver trouble. The symptoms of phosphorus poisoning would only look like another attack of the same complaint. There will be nothing new, nothing startling about it.”",hastings
"I tried, Japp, I tried",hastings
She made her attempt—and failed.,hastings
"For me, my arrival at Styles St. Mary was a sad and painful time,",hastings
"""He happens to have been born on the same day.""",hastings
"“Then there is always handwriting as a means of establishing identity,”",hastings
"A face, Poirot!” I cried. “A face pressed against the glass. A dreadful face! It’s gone now—but I saw it.”",hastings
"""J'ai fait un serment, Hastings,""",hastings
"""But how will you find her—what do you know about her?""",hastings
"""Words trembled on my lips, but I did not say them. The time had not yet come when I could say to her: “You are right. It wasn’t Maggie. . .”",hastings
“Someone in whom Mrs. Tanios had confidence?”,hastings
"This woman’s a fool. You look a brainy sort of chap. Balls are kept in certain places—this drawer is one of those places. There always has been a ball here. Therefore there should be a ball there now. That’s obvious dog logic, isn’t it?",hastings
"""Yes, that is true—but I don’t see what particular inferences you draw from that.""",hastings
"I found, on the floor, a large splash of candle grease, which upon questioning the servants, I found had not been there the day before.",hastings
"""I know the kind of thing you mean—anonymous letters they call them—mostly full of words you'd blush to say out loud. Well, I don't know, I'm sure, if Franz Ascher ever took to writing those. Mrs. Ascher never let on to me if he did. What's that? A railway guide, an A B C? No, I never saw such a thing about—and I'm sure if Mrs. Ascher had been sent one I'd have heard about it. I declare you could have knocked me down with a feather when I heard about this whole business. It was my girl Edie what came to me. 'Mum,' she says, 'there's ever so many policemen next door.' Gave me quite a turn, it did. 'Well,' I said, when I heard about it, 'it does show that she ought never to have been alone in the house—that niece of hers ought to have been with her. A man in drink can be like a ravening wolf,' I said, 'and in my opinion a wild beast is neither more nor less than what that old devil of a husband of hers is. I've warned her,' I said, 'many times and now my words have come true. He'll do for you,' I said. And he has done for her! You can't rightly estimate what a man will do when he's in drink and this murder's a proof of it.""",hastings
But I say—,hastings
"Mr. Le Juge. Although you have made one little error; the coffee, to the best of my belief, was not poisoned.”",hastings
Do you call that unhappiness? I should have said it was the happiest state imaginable.,hastings
“Eh bien?”,hastings
"“Come, Hastings, let us leave here. Our concern is not with the dead but with the living. It is with them I have to deal.”",hastings
"and bullying me. Keep your threats for Chinese cowards.""",hastings
"“Bella’s too kindhearted,” he said. “You won’t get her to impute bad motives to anybody. But I’m quite sure I was right. I’ll tell you another thing, M. Poirot. The secret of her ascendency over old Miss Arundell was spiritualism! That’s how it was done, depend upon it!”",hastings
"“Mon ami, someone has tampered with it. It had still three days to run. It is an eight-day clock, you comprehend?”",hastings
Without a word he walked into his bedroom and returned with a bottle in his hand which he handed to me.,hastings
“That was the idea.”,hastings
"“No, no, you have not paid attention to what I have just said.”",hastings
"“Well,”",hastings
Not just now. Nurse Craven is with her. But you don’t need to worry. She’s all right. Dr. Oliver will be here presently and he’ll tell you the same.,hastings
“Well—”,hastings
"""It seems to me very unlikely.""",hastings
"""Dear me,""",hastings
"""Enchanted, madame.""",hastings
"""Never mind, old chap. What does it matter? Your triumph downstairs excited you. I can tell you, that was a surprise to us all. There must be more in this affair of Inglethorp’s with Mrs. Raikes than we thought, to make him hold his tongue so persistently. What are you going to do now? Where are the Scotland Yard fellows?""",hastings
"the window. There is ivy outside. We can climb down before they begin to suspect.""",hastings
“But—but the whole village would have seen him!”,hastings
"Boyd Carrington, “What a damned fool I am. Barbara seemed so bright and gay I forgot all about tiring her. Hope she’s not knocked herself up.”",hastings
"""What has been happening this evening?""",hastings
"“You know,” “that really seems to me much more probable.”",hastings
It seems indicated,hastings
"""I must make some concessions to modernity.""",hastings
"“I gather, Miss Peabody, that you don’t think much of him as a doctor?”",hastings
"No, I wouldn’t say so.",hastings
"yes, such a terrible thing has happened!""",hastings
“You do not see it? Your wits are not so sharp as those of a mere servant girl.”,hastings
"""There have been a great number of undiscovered crimes,""",hastings
That hateful man! What a net he has drawn around my poor John! How he twisted every little fact until he made it seem what it wasn’t!,hastings
"""Yes, that comforts me. Yes, that comforts me very much.""",hastings
"""I think that she is in a highly nervous, overwrought condition.""",hastings
""" I urged. ""What have we done all this time?""",hastings
"“Oh, well,”",hastings
"Poirot, that has got no connection with this business.”",hastings
"""Tell me something about Mr. Norton.""",hastings
"sir, and Miss Buckley call up from the front hall saying she couldn’t find something and I heard her say, ‘All right—I’ll take the shawl—’ ”",hastings
"""You've got a grudge against that girl, Poirot,""",hastings
"“Who do you suspect, Poirot?”",hastings
"my friend, at what time, according to you, did the tragedy take place?""",hastings
"my friend. As the result of our various conversations this morning. I have now something definite to go upon. Certain faint but unmistakable indications. The only thing is—I am afraid.""",hastings
"“But yes, my friend, it is of a most pleasing symmetry, do you not find it so?”",hastings
There are several other questions.,hastings
Have you?,hastings
’ Hastings.”,hastings
"motive admitted. And I’m going to give you a present of a very valuable and significant piece of information. I called to see my uncle yesterday morning. Why? To ask for money. Yes, lick your lips over that. To ASK FOR MONEY. And I went away without getting any. And that same evening—that very same evening—Lord Edgware dies. Good title that, by the way. Lord Edgware Dies. Look well on a bookstall.""",hastings
mon ami?”,hastings
“The pleasure of refusing to answer questions.”,hastings
“Supposing I came along too? Any objection?”,hastings
"” I said, as soon as we were out upon the road. “There is one thing I think you ought to know.”",hastings
"Oh, my dear fellow, doctoring isn’t just a matter of dodging the ultimate end. It’s a lot more—it’s improving living. If a healthy man dies, it doesn’t matter—much. If an imbecile—a cretin—dies, it’s a good thing—but if by the discovery of administering the correct gland you turn your cretin into a healthy normal individual by correcting his thyroid deficiency, that, to my mind, matters a good deal.",hastings
"” he remarked, presenting a letter. “All present and correct—and I hope you’ll have more luck with old Purvis than we did.”",hastings
"""That does seem indicated,”",hastings
"""I tell you I heard nothing—nothing—I did nothing,""",hastings
"Hastings, you cannot assist me to think. That is all I am going to do—think.”",hastings
"""I shall never forget my first sight of Mary Cavendish.""",hastings
"""Is he older than you, or younger?""",hastings
“Surely you will go first to the shop where the crime took place?”,hastings
I don’t think I really believed that theory. It was only—,hastings
"But have you really no idea why M. Poirot sent you away as he did? Think, man, think.",hastings
"No, but what do we do?",hastings
"“It does gain,”",hastings
"My friend, accustomed to an unbroken line of successes, was sensitive to his failure—so much so that he could not even endure discussion",hastings
“Because—” I came to a stop.,hastings
"“So he has gone to Paris, has he? Well, a good thing. The longer he stays there the better. But what does he think he will find there?”",hastings
“You remember my telling you that my great friend was a detective?”,hastings
"You are getting nearer, my friend. You remember, I hint to her that she could not really see the face of anyone on the stairs, and immediately—what does she do?”",hastings
"“What gets me is why the Governor should be wandering about in underclothes and my overcoat at that time of night. I suppose he’d just given the foreign johnnies the slip, and my mother must have made a mistake about its being two o’clock when they came. Or—or, it wasn’t all a frame-up, was it? I mean, my mother didn’t think—couldn’t think—that—that it was me?”",hastings
I said your work must be interesting.,hastings
"""The trouble is that I can’t tell you quite as much as I’d like to.""",hastings
"""I've been indulging in false sentiment. This was never a happy house. It isn't now. Everyone here is unhappy.""",hastings
"""Unless it were Lazarus,"" I said.",hastings
"“Ah, well, well,” murmured Poirot. “The strong silent man beloved of novelists in the Edwardian age.”",hastings
"I see, mon ami! Capital. We progress."",",hastings
I should think a girl must get fed up with that sort of life. I mean when there isn’t much nursing to be done—when it’s just fetch and carry. I don’t suppose Mrs. Franklin is particularly considerate or kindly.,hastings
“It depends what you call—wrong.”,hastings
"There, Poirot, you are quite wrong! I happen to know for a fact that, far from being in love with her, he positively dislikes her.”",hastings
"your Honour, best holiday I’ve ever had in my life!’",hastings
"” “Unnecessary!” I cried, amazed. “If the man was poisoned—”",hastings
Oh! assuredly he was pressed for time.,hastings
"""Still—""",hastings
but I can’t explain it any more than you can.”,hastings
"“Without doubt, when Madame Renauld recovers, she will speak. The possibility of her son being accused of the murder never occurred to her. How should it, when she believed him safely at sea on board the Anzora? Ah! voilà une femme, Hastings! What force, what self-command! She only made one slip. On his unexpected return: ‘It does not matter—now.’ And no one noticed—no one realized the significance of those words. What a terrible part she has had to play, poor woman. Imagine the shock when she goes to identify the body and, instead of what she expects, sees the actual lifeless form of the husband she has believed miles away by now. No wonder she fainted! But since then, despite her grief and her despair, how resolutely she has played her part and how the anguish of it must wring her. She cannot say a word to set us on the track of the real murderers. For her son’s sake, no one must know that Paul Renauld was Georges Conneau, the criminal. Final and most bitter blow, she has admitted publicly that Madame Daubreuil was her husband’s mistress—for a hint of blackmail might be fatal to her secret. How cleverly she dealt with the examining magistrate when he asked her if there was any mystery in her husband’s past life. ‘Nothing so romantic, I am sure, monsieur.’ It was perfect, the indulgent tone, the soupçon of sad mockery. At once Monsieur Hautet felt himself foolish and melodramatic. Yes, she",hastings
"“Providence,”",hastings
“What about that résumé of the case that you gave her?”,hastings
"“Excuse me, sir,”",hastings
You can swear definitely to that?,hastings
“You are a good subject. Now later in the day—the garden—going to the post—”,hastings
"""Do you think this spiritualistic nonsense counted at all? I mean, do you think, in spite of Miss Peabody’s ridiculing of the suggestion, that a command was given at one of these séances that she should alter her will and leave her money to the Lawson woman?""",hastings
"Is it really necessary to tell such elaborate lies, Poirot?",hastings
"Ah Ling,"" murmured Poirot.",hastings
"“You play the bridge yourself,”",hastings
” I said. “That’s true. She dragged it into the conversation neck and crop—for no earthly reason that I could see.”,hastings
“A trap?”,hastings
“It will not be pleasant for you—”,hastings
“Precisely. And therefore not to be arrived at in a minute.,hastings
“Then who was the man?”,hastings
I am quite sure he had no idea of what you meant.,hastings
"Oh, it went down well—very well indeed. She said, ‘Well, I will say you’re a sportsman, Charles.’ And I said, ‘Got to take the rough with the smooth. As a matter of fact, if I’ve no expectations what about giving me a tenner now?’ And she said I was an impudent boy and actually parted with a fiver.",hastings
"""Is that all? I’ll soon fix you up. Come with me.""",hastings
"“Been dead about two hours, I should say. You’ll notify the proper people, won’t you?”",hastings
"“Was not that—pardon the question, Mr. Cavendish—rather unfair to her other stepson, Mr. Lawrence Cavendish?”",hastings
“Good.”,hastings
"when luck starts going against you, it keeps on going.""",hastings
"If Poirot were right, and retained his clearness of brain unimpaired, one of these people was a dangerous murderer—and probably a lunatic as well.",hastings
"""Now don't be sarcastic,""",hastings
"""But what were Lawrence Cavendish’s fingermarks doing on it? He never went near the poison cupboard the day we were there?""",hastings
and some rich bus driver language. In a dignified manner Poirot walked to the kerb. He looked like a man walking in his sleep.,hastings
” “And this is the man with whom Mrs. Cavendish has been wandering about all over the country!”,hastings
So that’s why your hair looks so much blacker than it did last time I was back.”,hastings
"“Sure of it, my dear fellow. I’ve seen a lot of that sort of thing. It gets hold of people. You’d be amazed! Especially anyone of Miss Arundell’s age. I’d be prepared to bet that that’s how the suggestion came. Some spirit—possibly her dead father—ordered her to alter her will and leave her money to the Lawson woman. She was in bad health—credulous—”",hastings
“But the man who came—the keeper?”,hastings
"Well,” I said consolately, “it will be the other way about tomorrow.”",hastings
"""Oh!"" I said, rather disappointed. “And then?”",hastings
"“Let me see, I do not think that I have your address?”",hastings
"“What do you think, Hastings?”",hastings
"""Quite,""",hastings
"“I suppose you are sure, Dr. Grainger—please do not get angry—that Miss Arundell’s death was a natural one?”",hastings
"” said Japp. “Don’t mind me. Glass of port? Well, if you say so.”",hastings
what are you thinking about?”,hastings
"""What is that?""",hastings
"Surely, there must always be a feeling of guilt with murder.",hastings
You take my breath away.,hastings
"“Now, now, Mademoiselle.” Poirot’s voice was resolutely brisk and cheerful. “This will not do. This is hysteria.”",hastings
"""Nonsense. Why not?""",hastings
"""I simply don’t understand you!”",hastings
""" I said, “are practically a disgrace.”",hastings
"for God's sake give me the hang of this thing. What a ghasty tragedy! That poor girl.""",hastings
"“Well, she’s young. And she sleeps soundly.”",hastings
