case,detective,believed_murderer
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
3,marple,John Saar
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Zack
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Zack
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Zack
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Wilson
1,poirot,Zack
1,poirot,Wilson
1,poirot,Zack
1,poirot,Wilson
1,poirot,Wilson
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,Hook
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
2,poirot,William
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
3,poirot,John Saar
