number,character,quote
67,hp,"My attention was immediately attracted towards Mr. and Mrs. Mercado, who were both of them clearly in a state of great agitation and unrest. I considered first Mrs. Mercado. Was she capable of murder, and if so for what reasons?

“Mrs. Mercado’s physique was frail. At first sight it did not seem possible that she could have had the physical strength to strike down a woman like Mrs. Leidner with a heavy stone implement. If, however, Mrs. Leidner had been on her knees at the time, the thing would at least be physically possible. There are ways in which one woman can induce another to go down on her knees. Oh! not emotional ways! For instance, a woman might be turning up the hem of a skirt and ask another woman to put in the pins for her. The second woman would kneel on the ground quite unsuspectingly.

“But the motive? Nurse Leatheran had told me of the angry glances she had seen Mrs. Mercado direct at Mrs. Leidner. Mr. Mercado had evidently succumbed easily to Mrs. Leidner’s spell. But I did not think the solution was to be found in mere jealousy. I was sure Mrs. Leidner was not in the least interested really in Mr. Mercado—and doubtless Mrs. Mercado was aware of the fact. She might be furious with her for the moment, but for murder there would have to be greater provocation. But Mrs. Mercado was essentially a fiercely maternal type. From the way she looked at her husband I realized, not only that she loved him, but that she would fight for him tooth and nail—and more than that—that she envisaged the possibility of having to do so. She was constantly on her guard and uneasy. The uneasiness was for him—not for herself. And when I studied Mr. Mercado I could make a fairly easy guess at what the trouble was. I took means to assure myself of the truth of my guess. Mr. Mercado was a drug addict—in an advanced stage of the craving.

“Now I need probably not tell you all that the taking of drugs over a long period has the result of considerably blunting the moral sense.

“Under the influence of drugs a man commits actions that he would not have dreamed of committing a few years earlier before he began the practice. In some cases a man has committed murder—and it has been difficult to say whether he was wholly responsible for his actions or not. The law of different countries varies slightly on that point. The chief characteristic of the drug-fiend criminal is overweening confidence in his own cleverness.

“I thought it possible that there was some discreditable incident, perhaps a criminal incident, in Mr. Mercado’s past which his wife had somehow or other succeeded in hushing up. Nevertheless his career hung on a thread. If anything of this past incident were bruited about, Mr. Mercado would be ruined. His wife was always on the watch. But there was Mrs. Leidner to be reckoned with. She had a sharp intelligence and a love of power. She might even induce the wretched man to confide in her. It would just have suited her peculiar temperament to feel she knew a secret which she could reveal at any minute with disastrous effects.

“Here, then, was a possible motive for murder on the part of the Mercados. To protect her mate, Mrs. Mercado, I felt sure, would stick at nothing! Both she and her husband had had the opportunity—during that ten minutes when the courtyard was empty."
68,hp,"Good-looking fillies, some of ’em. Bit on the thin side, perhaps."
69,hp,"The fault is mine. Father Lavigny, he explains to me some tablets, and I take one to the window to see better—and, ma foi, not looking where I was going, I steb the toe, and the pain is sharp for the moment and I cry out."
70,mm,"it’s just perseverance, isn’t it, that leads to things."
71,hp,"I am sure I’m sorry I spoke so sharp just now, but you’d hardly believe the worry one has to put up with—fellows coming along selling this, that and the other—vacuum cleaners, stockings, lavender bags and such-like foolery—and all so plausible and civil spoken. Got your name, too, pat they have. It’s Mrs. Fowler this, that and the other."
72,hp,"The impossible cannot have happened, therefore the impossible must be possible in spite of appearances."
73,mm,When did you first begin to discover what had happened ten years ago?
74,hp,"But not so devilish and so ingenious as the man who killed Arlena Marshall! Think back for a moment. Who did I think—who did everybody think—that Arlena Marshall had gone to meet that morning? We all jumped to the same conclusion. Patrick Redfern. It was not to meet a blackmailer that she went. Her face alone would have told me that. Oh no, it was a lover she was going to meet—or thought she was going to meet.

“Yes, I was quite sure of that. Arlena Marshall was going to meet Patrick Redfern. But a minute later Patrick Redfern appeared on the beach and was obviously looking for her. So what then?"
75,hp,Are there any other members of the staff in the house?
76,mm,"I think, you know, that Constable Palk could help you. He was the first person on the—on the ‘scene of the crime,’ as they say."
77,sh,"I think a year at sea would be my prescription for Master Jacky,"
78,mm,"It’s been awfully good of you to come down as you have and try to help us. Sorry it’s been all a washout. Feel we trespassed a lot on your time. However—I’ll get the car out, and you’ll be able to catch the three thirty—"
79,sh,"Kindly let me have the facts, Mr. Munro,"
80,hp,"Ah! but that raises rather an interesting question. They would notice a stranger undoubtedly—but would they have even noticed a member of the expedition? The members of the staff are passing in and out all day. The servants would hardly notice their going and coming. It is possible, I think, that either Mr. Carey or Mr. Coleman might have entered and the servants’ minds would have no remembrance of such an event."
81,mm,"It happened just before dinner, didn’t it? When you took Joyce out to admire the sunset. It is a very favourite place, that. There by the jasmine hedge. That is where the milkman asked Annie if he could put up the banns."
82,hp,No news as yet. All men available are on the lookout. All persons whose name begins with C are being warned by phone when possible. There’s just a chance. Where’s the letter?
83,sh,"This, gentlemen, is
     Colonel Sebastian Moran, once of Her Majesty's Indian Army, and the
     best heavy game shot that our Eastern Empire has ever produced. I
     believe I am correct, Colonel, in saying that your bag of tigers
     still remains unrivalled?"
84,sh,"I pray that we may
     never be exposed to such a temptation."
85,sh,"I see that you have read it since you have
     marked it. I don't deny that it is smartly written. It irritates me
     though. It is evidently the theory of some arm-chair lounger who
     evolves all these neat little paradoxes in the seclusion of his own
     study. It is not practical. I should like to see him clapped down in
     a third class carriage on the Underground, and asked to give the
     trades of all his fellow-travellers. I would lay a thousand to one
     against him."
86,mm,You fool! You crazy old fool! Do you think you are ever going to get away to tell this story?
87,sh,"I perceive that you
     are not yourself a member of the family."
88,mm,"Because, you see, I haven’t got any—what you call knowledge."
89,sh,"our ways lie elsewhere. Our next station
     must be the office from which the papers were taken."
90,sh,"I am sorry to say that we have made very little progress,"
91,hp,"You may have noticed I had a new manservant today—a friend of mine—an expert sneak thief. He removed your pistol from your pocket, unloaded it, and returned it, all without you being aware of the fact."
92,mm,"Nobody is suing you for anything, are they?"
93,sh,"We give you best, Holmes. I believe you are the devil himself."
94,hp,I suppose the stewardess is in attendance to see I don’t hang myself or swallow a miraculous capsule of prussic acid as people always do in books. You needn’t be afraid! I shan’t do that. It will be easier for Simon if I’m standing by.
95,mm,"We were staying, Arthur and I, with Sir Ambrose Bercy at Clodderham Court, and one day, by mistake (though very stupidly, I’ve always thought) a lot of foxglove leaves were picked with the sage. The ducks for dinner that night were stuffed with it and everyone was very ill, and one poor girl—Sir Ambrose’s ward—died of it."
96,hp,"Rather an odd little comedy that I watch here,"
97,mm,had a most nerve-racking experience only a few years ago. A dead body on their library floor one morning.
98,mm,Was she going to—er—sleep in the barrow by any chance?
99,mm,Is there anything I can do? Look after her?
100,sh,"I was about to say, as he is unknown to the public."
101,hp,"Well, not exactly. I’ll tell you about it. You know that big map of
the county we have in the hall?"
102,sh,"And, of course, I cannot pretend to be ignorant of the object of
     your visit. There has only been one occurrence in these offices which
     could call for your attention. In whose interest are you acting, may
     I ask?"
103,sh,"'A marriage has been arranged [it says] and will, if rumour is
     correct, very shortly take place, between Lord Robert St. Simon,
     second son of the Duke of Balmoral, and Miss Hatty Doran, the only
     daughter of Aloysius Doran. Esq., of San Francisco, Cal., U.S.A.'

     That is all."
104,mm,"But you must admit that he could have invented the story quite easily. He could write the letter purporting to be from you himself. He could also dope himself after successfully committing the burglary. But I confess I don’t see where the point of all that would be. Easier to enter the house, help himself, and disappear quietly—unless just possibly he was observed by someone in the neighbourhood and knew himself to have been observed. Then he might hastily concoct this plan for diverting suspicion from himself and accounting for his presence in the neighbourhood."
105,sh,"and I am
     sure Amberley himself never observed it. You'll get results,
     Inspector, by always putting yourself in the other fellow's place,
     and thinking what you would do yourself. It takes some imagination,
     but it pays. Now, we will suppose that you were shut up in this
     little room, had not two minutes to live, but wanted to get even with
     the fiend who was probably mocking at you from the other side of the
     door. What would you do?"
106,sh,"Your red-headed idea was very new and
     effective."
107,sh,"Well, I have been obliged to reconsider it. I had my net drawn
     tightly round Mr. Sholto, sir, when pop he went through a hole in the
     middle of it. He was able to prove an alibi which could not be
     shaken. From the time that he left his brother's room he was never
     out of sight of some one or other. So it could not be he who climbed
     over roofs and through trap-doors. It's a very dark case, and my
     professional credit is at stake. I should be very glad of a little
     assistance."
108,mm,"I think it is really quite natural. They have a rather exact plan, I imagine."
109,hp,I know the dead man’s real name. I know why he had to leave America.
110,sh,"I was consulted
     last week by Francois Le Villard, who, as you probably know, has come
     rather to the front lately in the French detective service. He has
     all the Celtic power of quick intuition, but he is deficient in the
     wide range of exact knowledge which is essential to the higher
     developments of his art. The case was concerned with a will, and
     possessed some features of interest. I was able to refer him to two
     parallel cases, the one at Riga in 1857, and the other at St. Louis
     in 1871, which have suggested to him the true solution. Here is the
     letter which I had this morning acknowledging my assistance."
111,hp,"She may have been surprised to see the person—but she was not afraid. Then, as he struck, she may have uttered a half cry—too late."
112,mm,"to the most important thing of all. The reason why I’ve really come here today. You see, the Eccleses made a great fuss about having his coat. We took it off when the doctor was seeing him. It was an old, shabby sort of coat—there was no reason they should have wanted it. They pretended it was sentimental, but that was nonsense.

“Anyway, I went up to find it, and as I was just going up the stairs I remembered how he’d made a kind of picking gesture with his hand, as though he was fumbling with the coat. So when I got hold of the coat I looked at it very carefully and I saw that in one place the lining had been sewn up again with a different thread. So I unpicked it and I found a little piece of paper inside. I took it out and I sewed it up again properly with thread that matched. I was careful and I don’t really think that the Eccleses would know I’ve done it. I don’t think so, but I can’t be sure. And I took the coat down to them and made some excuse for the delay."
113,hp,"Yes. It is not pleasant to think, is it, that now, at this very moment, someone is rejoicing at the successful carrying out of his or her plan."
114,mm,"Oh, but there was nothing in the safe,"
115,sh,"He had lost them all, sir, except the one which was in his blow-pipe
     at the time."
116,mm,"Mrs. MacArthur sent some special bulbs round to Mrs. Toomie the other day,"
117,hp,Would you mind all clearing off? We want to bring out the body.
118,hp,"Ah, mon cher, that would be indeed stretching coincidence a little too far,"
119,sh,"Thank you! Now,
     Cartwright, there are the names of twenty-three hotels here, all in
     the immediate neighbourhood of Charing Cross. Do you see?"
120,hp,"Saw him give young Redfern a dirty look once or twice. Dark horse, Marshall. Looks very meek and mild and as though he were half asleep all the time—but that’s not his reputation in the City. I’ve heard a thing or two about him. Nearly had up for assault once. Mind you, the fellow in question had put up a pretty dirty deal. Marshall had trusted him and the fellow had let him down cold. Particularly dirty business, I believe. Marshall went for him and half-killed him. Fellow didn’t prosecute—too afraid of what might come out. I give you that for what it’s worth."
121,mm,"I have everything I want. I have my little night bag here, you see, so I need not do anymore unpacking. Thank you,"
122,hp,"I fall into the bad habit of leaving my sentences unfinished this
morning,"
123,sh,"These are the sacrifices one makes for one's country, Watson,"
124,hp,Tell me more about the death of Alice Corrigan.
125,sh,"Now, sir, you must see that
     after Bannister's words your position is hopeless, and that your only
     chance lies in a frank confession."
126,hp,"You would go faster, would you not, on the Government steamer, which travels by night as well as day?"
127,mm,"Ah, you want to know that. So did I. He was, I think, extremely honest with me even if—"
128,sh,"I could not have believed that an alarm could have spread so swiftly.
     Looking back, the huge house was one blaze of light. The front door
     was open, and figures were rushing down the drive. The whole garden
     was alive with people, and one fellow raised a view-halloa as we
     emerged from the veranda and followed hard at our heels. Holmes
     seemed to know the ground perfectly, and he threaded his way swiftly
     among a plantation of small trees, I close at his heels, and our
     foremost pursuer panting behind us. It was a six-foot wall which
     barred our path, but he sprang to the top and over. As I did the same
     I felt the hand of the man behind me grab at my ankle; but I kicked
     myself free and scrambled over a glass-strewn coping. I fell upon my
     face among some bushes; but Holmes had me on my feet in an instant,
     and together we dashed away across the huge expanse of Hampstead
     Heath. We had run two miles, I suppose, before Holmes at last halted
     and listened intently. All was absolute silence behind us. We had
     shaken off our pursuers and were safe.

     We had breakfasted and were smoking our morning pipe on the day after
     the remarkable experience which I have recorded when Mr. Lestrade, of
     Scotland Yard, very solemn and impressive, was ushered into our
     modest sitting-room."
129,hp,But does everybody on this train tell lies?
130,hp,"You want me to tell what it was you saw? If I am right, will you admit that I am right? I will tell you my little idea. I think that when you came round the stern of the boat you stopped involuntarily because you saw a man come out of a cabin about halfway down the deck—Linnet Doyle’s cabin, as you realized next day. You saw him come out, close the door behind him, and walk away from you down the deck and—perhaps—enter one of the two end cabins. Now, then, am I right, Mademoiselle?"
131,sh,"May I ask, in the first place, why you came to me at all?"
132,mm,"Because, you see, just at that minute I was bending right over—trying to get up one of those nasty dandelions, you know. So difficult. And then he went through the gate and down to the studio."
133,hp,There is an alphabetical complex. But why an alphabetical complex? A madman in particular has always a very strong reason for the crimes he commits.
134,mm,"Oh, I should never have thought of that. But I see—yes, I just see that there could be something in what you say. Of course, I don’t know what those two were like. I haven’t been travelling with them."
135,mm,"is poor Mr. Pritchard and that nice girl, Miss Instow. Probably both suspecting each other and keeping apart—and life so very short."
136,sh,"because it serves to show very clearly how
     simple the explanation may be of an affair which at first sight seems
     to be almost inexplicable. Nothing could be more natural than the
     sequence of events as narrated by this lady, and nothing stranger
     than the result when viewed, for instance, by Mr. Lestrade of
     Scotland Yard."
137,sh,"Our French friends seem to have touched the spot this time. No doubt
     it's just as they say. She knocked at the door--surprise visit, I
     guess, for he kept his life in water-tight compartments. He let her
     in--couldn't keep her in the street. She told him how she had traced
     him, reproached him, one thing led to another, and then with that
     dagger so handy the end soon came. It wasn't all done in an instant,
     though, for these chairs were all swept over yonder, and he had one
     in his hand as if he had tried to hold her off with it. We've got it
     all clear as if we had seen it."
138,mm,"Ah well, I’ve got a lot of experience. I usually know when a girl’s that way. It’s plain enough to the eye. It’s not only the shape, as you might say, you can tell by the look in their eyes and the way they walk and sit, and the sort of giddy fits they get and sick turns now and again. Oh yes, I thought to myself, here’s another one of them. Miss Clotilde had to go and identify the body. Nearly broke her up, it did. She was like a different woman for weeks afterwards. Fairly loved that girl, she did."
139,sh,"Well, I don't profess to understand it yet. This case of yours is
     very complex, Sir Henry. When taken in conjunction with your uncle's
     death I am not sure that of all the five hundred cases of capital
     importance which I have handled there is one which cuts so deep. But
     we hold several threads in our hands, and the odds are that one or
     other of them guides us to the truth. We may waste time in following
     the wrong one, but sooner or later we must come upon the right."
140,sh,"Might we
     make the acquaintance of the baby?"
141,sh,"There are certainly grave
     difficulties in the way,"
142,hp,"Frankly—it’s hard to say! I didn’t know her well enough. She’d got charm—any amount of it. Brains, sympathy . . . What else? She hadn’t any of the ordinary unpleasant vices. She wasn’t sensual or lazy or even particularly vain. She was, I’ve always thought (but I’ve no proofs of it), a most accomplished liar. What I don’t know (and what I’d like to know) is whether she lied to herself or only to other people. I’m rather partial to liars myself. A woman who doesn’t lie is a woman without imagination and without sympathy. I don’t think she was really a manhunter—she just liked the sport of bringing them down ‘with my bow and arrow.’ If you get my daughter on the subject—"
143,mm,"I shall enjoy the gardens most, though, but the houses—they will be a new experience for me. Their variety and their history, and the beautiful old furniture and the pictures."
144,sh,"No gossiping! Go about your
     business! And you, what the devil do you want here?"
145,hp,my idea was right. It was thrown overboard.
146,sh,"But when one gets old one has a longing for home.  For years I've
     been dreaming of the bright green fields and the hedges of England. 
     At last I determined to see them before I died.  I saved enough to
     bring me across, and then I came here where the soldiers are, for I
     know their ways and how to amuse them and so earn enough to keep me."
147,mm,The risks he took. The police might have arrived too soon.
148,mm,"And their initial letters spell ‘DEATH,’ explained Miss Marple.

“But the letter came to Dr. Rosen himself,"
149,sh,"I began, but the words had a most magical
     effect, for the window instantly slammed down, and within a minute
     the door was unbarred and open. Mr. Sherman was a lanky, lean old
     man, with stooping shoulders, a stringy neck, and blue-tinted
     glasses."
150,sh,"Then in an
     instant his sudden access of strength departed, and his masterful,
     purposeful talk droned away into the low, vague murmurings of a
     semi-delirious man.

     From the hiding-place into which I had been so swiftly hustled I
     heard the footfalls upon the stair, with the opening and the closing
     of the bedroom door. Then, to my surprise, there came a long silence,
     broken only by the heavy breathings and gaspings of the sick man. I
     could imagine that our visitor was standing by the bedside and
     looking down at the sufferer. At last that strange hush was broken."
151,mm,Do you mean a second body connected with the particular crime that we have been considering? A crime that took place ten years ago?
152,sh,"But
     I would not have let the young man come to harm. I give you my word
     that I would have spoken out if it went against him at the Assizes."
153,hp,"What exactly do you mean by that phrase, M. MacQueen?"
154,sh,"I would have spoken now had it not been for my dear girl. It would
     break her heart--it will break her heart when she hears that I am
     arrested."
155,hp,"I’m perfectly innocent! It’s all a mistake. Why, look at that second crime—that Bexhill one. I was playing dominoes at Eastbourne. You’ve got to admit that!"
156,hp,She was not so well worth remembering. In Mademoiselle Megan you have one in a hundred—un coeur magnifique!
157,hp,"I perceive that you do not believe that I do know. And yet I have told
you just now that I know everything. The truth of the telephone call,
of the footprints on the window-sill, of the hiding-place of Ralph
Paton——"
158,hp,"Well—that old lady, for instance. You have probably noticed her. A very ugly old lady, but rather fascinating. She has only to lift a little finger and ask for something in a polite voice—and the whole train runs."
159,mm,"I think he said pile. But there, I really can’t be sure—it’s so hard to remember the actual words, isn’t it, Miss, especially when they don’t seem to make sense. But now I come to think of it, I am pretty sure that it was a pile, and the fish began with C; but it wasn’t a cod or a crayfish."
160,sh,"Your three birds are all in their nests,"
161,hp,"two clues is too much carelessness. I agree with M. Bouc. The handkerchief was a genuine oversight—hence no one will admit that it is theirs. The pipe cleaner is a faked clue. In support of that theory, you notice that Colonel Arbuthnot shows no embarrassment and admits freely to smoking a pipe and using that type of cleaner."
162,sh,"I owe you a
     thousand apologies. I had no idea that you would be so affected."
163,hp,"I do think, you know, that our girls and boys nowadays lead a much more natural healthy life. They just romp about together and they—well, they—"
164,hp,Are you going to tackle her about them?
165,mm,Because the interpretation is up to you. I want to see if you’re as clever as you always make out.
166,hp,"It would be the act of an imbecile to bring that back with him,"
167,hp,"that four people sit down to play bridge and one, the odd man out, sits in a chair by the fire. At the end of the evening the man by the fire is found dead. One of the four, while he is dummy, has gone over and killed him, and intent on the play of the hand, the other three have not noticed. Ah, there would be a crime for you! Which of the four was it?"
168,hp,"Then if she wrote it, there are only two explanations. Either she wrote it in all good faith, knowing herself to be the murderess or—or, I say—she wrote it deliberately to shield someone else, someone whom she feared was suspected."
169,mm,"Miss Marple, I mean, I believe—I do really believe you know the truth."
170,hp,"Why, Mr. Poirot, how could I? He was dead."
171,mm,"Oh, so you’ve noticed it too. Yes, they’re really getting to a stage of spooning about together. I don’t much care for him anyway. One of these long-haired students, you know. Always going on demos or something like that. Why can’t they say demonstration properly? I hate abbreviations. And how am I going to get along? Nobody to look after me, collect my luggage, take it in, take it out. Really. I’m paying for this complete trip and everything."
172,mm,"Dear me, past twelve o’clock. I hope Raymond has gone to bed and not waited up."
173,hp,there’s poison—but that’s always so technical. Or a revolver shot echoing in the night. Then there must be a beautiful girl or two—
174,mm,I do hope you will be quite comfortable here. Can I help you to unpack? We have a very nice woman who comes in but she is only here in the morning. But she’ll help you with anything.
175,sh,"The second man was a long, dried-up creature, with lank hair and
     sallow cheeks. His name was Hugh Pattins. He also received his
     dismissal, his half-sovereign, and the order to wait.

     The third applicant was a man of remarkable appearance. A fierce
     bull-dog face was framed in a tangle of hair and beard, and two bold
     dark eyes gleamed behind the cover of thick, tufted, overhung
     eyebrows. He saluted and stood sailor-fashion, turning his cap round
     in his hands."
176,mm,"That’s the maddening part of it. He didn’t. He’d been unconscious for somedays, but he rallied before he died. He looked at us both and chuckled—a faint, weak little chuckle. He said, ‘You’ll be all right, my pretty pair of doves.’ And then he tapped his eye—his right eye—and winked at us. And then—he died. Poor old Uncle Mathew."
177,mm,"You see the point? The pen was filled with what is commonly known as Evanescent Ink—a solution of starch in water to which a few drops of iodine has been added. This makes a deep blue-black fluid, but the writing disappears entirely in four or five days."
178,mm,"almost too good to be true. I should—well, I should be a little careful if I were you."
179,sh,"It was one of the finest corner-houses of the West End. A
     machine-like footman took up our cards and returned with word that
     the lady was not at home."
