no.,character,quote
19,holmes,"Now, Mr. Gilchrist, we are all
     quite alone here, and no one need ever know one word of what passes
     between us. We can be perfectly frank with each other. We want to
     know, Mr. Gilchrist, how you, an honourable man, ever came to commit
     such an action as that of yesterday?"
20,holmes,"I confess that you had one small surprise for me,"
21,holmes,"Im asking you to conseedar what it involves if you
     suppose that this gun was ever brought into the house, and that all
     these strange things were done by a person from outside. Oh, man,
     its just inconceivable! Its clean against common sense! I put it to
     you, Mr."
22,holmes,"I went to it on my knees, sir, just as you told me."
23,holmes,"That is my
     magnum opus--the pile of papers on the side table yonder. It is my
     analysis of the documents found in the Coptic monasteries of Syria
     and Egypt, a work which will cut deep at the very foundations of
     revealed religion. With my enfeebled health I do not know whether I
     shall ever be able to complete it now that my assistant has been
     taken from me. Dear me, Mr."
24,holmes,"I do not know how I could
     employ my time better."
25,holmes,"I presume that you do not go so far as to assert that I summoned
     you?"
26,holmes,"you can
     understand that I am not accustomed to doing such business in my own
     person. Yet the matter was so delicate that I could not confide it to
     an agent without putting myself in his power. I have come incognito
     from Prague for the purpose of consulting you."
27,holmes,"These are the sacrifices one makes for ones country, Watson,"
28,holmes,"Bite on that, Captain Croker, and
     dont let your nerves run away with you. I should not sit here
     smoking with you if I thought that you were a common criminal, you
     may be sure of that. Be frank with me, and we may do some good. Play
     tricks with me, and Ill crush you."
29,holmes,"Here, Lestrade, your brandy-bottle! Put
     her in the chair! She has fainted from ill-usage and exhaustion."
30,holmes,"one might think that
     you were afraid of our finding something out."
31,holmes,"that every carriage
     has been carefully examined. I saw to it myself."
32,holmes,"He took two swift
     steps to the whip, but before he could grasp it there was a wild
     clatter of steps upon the stairs, the heavy hall door banged, and
     from the window we could see Mr. James Windibank running at the top
     of his speed down the road."
33,holmes,"That also I have arranged, Mr. I wrote to the Duchess this
     morning."
34,holmes,"He thought it was his mistress,
     and he found it was a stranger. Dogs dont make mistakes."
35,holmes,"He relapsed into a moody silence,
     which was not broken until we drew up in Serpentine Avenue. The door of Briony Lodge was open, and an elderly woman stood upon
     the steps. She watched us with a sardonic eye as we stepped from the
     brougham."
36,holmes,"Such paper could
     not be bought under half a crown a packet. It is peculiarly strong
     and stiff."
37,holmes,"I have no more notion than you how long it is to last,"
38,holmes,"Well, in the name of the force I thank you. It seems a clear case,
     as you put it, and there cant be much difficulty over the bodies."
39,holmes,"He had lost them all, sir, except the one which was in his blow-pipe
     at the time."
40,holmes,"The London express came roaring into the station, and a small, wiry
     bulldog of a man had sprung from a first-class carriage. We all three
     shook hands, and I saw at once from the reverential way in which
     Lestrade gazed at my companion that he had learned a good deal since
     the days when they had first worked together. I could well remember
     the scorn which the theories of the reasoner used then to excite in
     the practical man."
41,holmes,"There is the
     gravel-drive, and there are the rose-bushes where I lay. That second
     window is the one that I jumped from."
42,holmes,"I owe you both my thanks and an apology. It was an unjustifiable
     experiment even for ones self, and doubly so for a friend. I am
     really very sorry."
43,holmes,"In silence Baynes led the way to the sink and held forward his
     candle. The limbs and body of some large, white bird, torn savagely
     to pieces with the feathers still on, were littered all over it."
44,holmes,"Ah, yes! Your pictures are not unlike you, sir, if I may say so. I believe you
     have had a letter from my namesake, Mr. Nathan Garrideb, have you
     not?"
45,holmes,"The case is
     not entirely devoid of interest. Had anyone visited you in your room
     after the papers came to you?"
46,holmes,"It must be very familiar to you. Have you not
     tethered a young kid under a tree, lain above it with your rifle, and
     waited for the bait to bring up your tiger? This empty house is my
     tree and you are my tiger. You have possibly had other guns in
     reserve in case there should be several tigers, or in the unlikely
     supposition of your own aim failing you. These,"
47,holmes,"Your instructions will be done. It shall all be done,"
48,holmes,"let us go round. Not one of your cases,
     Watson--mental, not physical. All right; come if you want to. Now,
     Mr. Soames--at your disposal!"
49,holmes,"I should like to have a peep at each of them,"
50,holmes,"You certainly have the air of something unusual having occurred,"
51,holmes,"What is it worth? What have
     I done? It is my ruin forever!"
52,holmes,"And yet I question, sir, whether, in all your experience, you have
     ever listened to a more mysterious and inexplicable chain of events
     than those which have happened in my own family."
53,holmes,"Then perhaps you would now like to hear the evidence of some of the
     people in the house. We could use the dining-room, Ames. Please come
     yourself first and tell us what you know."
54,holmes,You are perfectly right. Let it play! These modern gramophones are a remarkable invention.
55,holmes,"Then I can assure you that our relations were entirely and always
     those of an employer towards a young lady whom he never conversed
     with, or ever saw, save when she was in the company of his children."
56,holmes,"I dont think you have anything to fear now for a week at least,"
57,holmes,"None as yet. But the affair is a pretty one, one of our little
     country crimes, which must seem too small for your attention, Mr."
58,holmes,"that money is nothing
     to me in this case. You can burn it if its any use in lighting you
     to the truth. This woman is innocent and this woman has to be
     cleared, and its up to you to do it. Name your figure!"
59,holmes,"Our client had suddenly burst into the room with an explosive energy
     which told of some new and momentous development."
60,holmes,"Your telegram was dispatched
     about one. But no one can glance at your toilet and attire without
     seeing that your disturbance dates from the moment of your waking."
61,holmes,"Oh, there can be no doubt as to the sequence of events,"
62,holmes,"Ive driven my cab this seven
     years and never a word of complaint. I came here straight from the
     Yard to ask you to your face what you had against me."
63,holmes,"Well, I first had the hammer examined. There was Dr. Wood there to
     help me. We found no signs of violence upon it. I was hoping that if
     Mr. Douglas defended himself with the hammer, he might have left his
     mark upon the murderer before he dropped it on the mat. But there was
     no stain."
64,holmes,"though it is
     some years since he used my services in some trifling matter."
65,holmes,"Then in an
     instant his sudden access of strength departed, and his masterful,
     purposeful talk droned away into the low, vague murmurings of a
     semi-delirious man. From the hiding-place into which I had been so swiftly hustled I
     heard the footfalls upon the stair, with the opening and the closing
     of the bedroom door. Then, to my surprise, there came a long silence,
     broken only by the heavy breathings and gaspings of the sick man. I
     could imagine that our visitor was standing by the bedside and
     looking down at the sufferer. At last that strange hush was broken."
66,holmes,"Ive no time to talk to every gadabout. We want no stranger here. Be
     off, or you may find a dog at your heels."
67,holmes,"Why, says he, heres another vacancy on the League of the
     Red-headed Men. Its worth quite a little fortune to any man who gets
     it, and I understand that there are more vacancies than there are
     men, so that the trustees are at their wits end what to do with the
     money. If my hair would only change colour, heres a nice little crib
     all ready for me to step into."
68,holmes,"He remarks
     that, while the individual man is an insoluble puzzle, in the
     aggregate he becomes a mathematical certainty. You can, for example,
     never foretell what any one man will do, but you can say with
     precision what an average number will be up to. Individuals vary, but
     percentages remain constant. So says the statistician. But do I see a
     handkerchief? Surely there is a white flutter over yonder."
69,holmes,"I take it, Miss Presbury, that there
     is some fresh development in the case, and that you thought we should
     know?"
70,holmes,"Why should you raise up hopes which you are bound
     to disappoint? I am not over-tender of heart, but I call it cruel."
71,holmes,"They told
     me that you were fond of queer mysteries, and I dont think you can
     find a queerer one than that. I sent the paper on ahead so that you
     might have time to study it before I came."
72,holmes,"She has been
     suffering since yesterday from brain symptoms of great severity. As
     her medical adviser, I cannot possibly take the responsibility of
     allowing anyone to see her. I should recommend you to call again in
     ten days."
73,holmes,"A fitting wind-up
     to an extremely interesting case. There is nothing at all new to me
     in the latter part of your narrative, except that you brought your
     own rope. That I did not know. By the way, I had hoped that Tonga had
     lost all his darts; yet he managed to shoot one at us in the boat."
74,holmes,"Because she has said that she would send it on the day when the
     betrothal was publicly proclaimed. That will be next Monday."
75,holmes,"The facts are briefly these: Some five years ago, during a lengthy
     visit to Warsaw, I made the acquaintance of the well-known
     adventuress, Irene Adler. The name is no doubt familiar to you."
76,holmes,"When we returned to Mrs. Warrens rooms, the gloom of a London winter
     evening had thickened into one gray curtain, a dead monotone of
     colour, broken only by the sharp yellow squares of the windows and
     the blurred haloes of the gas-lamps. As we peered from the darkened
     sitting-room of the lodging-house, one more dim light glimmered high
     up through the obscurity."
77,holmes,"I expect the old gentleman has been putting two and two together,"
78,holmes,"I
     only know that he drove away with the gentleman in a carriage."
79,holmes,"I shall be happy to look into it and to give you such advice as I
     can,"
80,holmes,"I tell you, man, that I havent got one. Ill let you have two
     horses as far as the Hall."
81,holmes,"So you despair of arresting the murderer of poor Straker,"
82,holmes,"Of course there can be no doubt as to the nature of
     this gang."
83,holmes,"Then, suddenly realising the full purport of his
     words, she gave a violent start and looked up, with fear and
     astonishment upon her broad, good-humoured face."
84,holmes,
85,holmes,"Percy Phelps was walking very slowly, leaning upon the arm of his
     future brother-in-law."
86,holmes,Did you ever know him to cut himself in shaving before?
87,holmes,"Some one calls him a soul concealed in an animal,"
88,holmes,"I am accustomed to have mystery at one
     end of my cases, but to have it at both ends is too confusing. I
     fear, Sir James, that I must decline to act."
89,holmes,"However,
     that particular one can be answered very easily without your aid."
90,holmes,"You work your own method,
     and I shall work mine. I shall be busy this afternoon, and shall
     probably return to London by the evening train."
91,holmes,"Come, Watson, I think that we have more
     important work elsewhere."
92,holmes,Have you any objection to my looking at your register?
93,holmes,"How can I tell you where it is now? Its more than a year since I
     left him. I know where he kept it then. Hes a precise, tidy cat of a
     man in many of his ways, so maybe it is still in the pigeon-hole of
     the old bureau in the inner study. Do you know his house?"
94,holmes,"What can this man
     possibly know of what has occurred? It is waste of time and money."
95,holmes,"He tore off a strip of the blotting-paper and turned towards us the
     following hieroglyphic:

     [ Picture: Several unreadable scrawls on paper ]

     Cyril Overton was much excited."
96,holmes,"Now, Bannister, will
     you please tell us the truth about yesterdays incident?"
97,holmes,"however foolish the incident may seem. You
     have lost one of your boots, you say?"
98,holmes,"Yes, and no later than to-day. That is why I have come to you. This
     morning I received this letter, which you will perhaps read for
     yourself."
99,holmes,"Yes, sir. He told me that a gipsy had done it for him when he was a
     lad."
100,holmes,"I could not have believed
     that you would have descended to this. You have made inquires into
     the history of my unhappy brother, and you now pretend to deduce this
     knowledge in some fanciful way. You cannot expect me to believe that
     you have read all this from his old watch! It is unkind, and, to
     speak plainly, has a touch of charlatanism in it."
101,holmes,"He is looking
     up at the numbers of the houses."
102,holmes,"My dear sir, you have done wonders. The horse looks very fit and
     well. It never went better in its life. I owe you a thousand
     apologies for having doubted your ability. You have done me a great
     service by recovering my horse. You would do me a greater still if
     you could lay your hands on the murderer of John Straker."
103,holmes,"and I really cannot undertake to go about the country looking for a
     left-handed gentleman with a game leg. I should become the
     laughing-stock of Scotland Yard."
104,holmes,"With a comical pomposity of
     manner he bowed solemnly to both of us and strode off upon his way."
105,holmes,"shouted Mr. Windibank, turning white to his lips and
     glancing about him like a rat in a trap."
106,holmes,"I am not very clear yet who you are or what you are;
     but youve said enough to make it very clear that we shall want you
     at the Yard."
107,holmes,"I may need
     some of these dates which you have noted."
108,holmes,"He was, indeed, half
     blubbering with fear, and his twitching feeble face peeping out from
     the great Astrakhan collar had the helpless appealing expression of a
     terrified child."
109,holmes,"Look out
     this window, Watson. See how the figures loom up, are dimly seen, and
     then blend once more into the cloud-bank. The thief or the murderer
     could roam London on such a day as the tiger does the jungle, unseen
     until he pounces, and then evident only to his victim."
110,holmes,"He is my general utility
     man who looks up routine business. It was important to know something
     of the man with whom our professor was so secretly corresponding. His
     nationality connects up with the Prague visit."
111,holmes,"A more perfect compound of the bully, coward, and sneak than Master
     Silas Brown I have seldom met with,"
112,holmes,"Phelps raised the cover, and as he did so he uttered a scream, and
     sat there staring with a face as white as the plate upon which he
     looked. Across the centre of it was lying a little cylinder of
     blue-gray paper. He caught it up, devoured it with his eyes, and then
     danced madly about the room, passing it to his bosom and shrieking
     out in his delight. Then he fell back into an arm-chair so limp and
     exhausted with his own emotions that we had to pour brandy down his
     throat to keep him from fainting."
113,holmes,"It is no time for me to hide anything. James and his father had many
     disagreements about me. Mr. McCarthy was very anxious that there
     should be a marriage between us. James and I have always loved each
     other as brother and sister; but of course he is young and has seen
     very little of life yet, and--and--well, he naturally did not wish to
     do anything like that yet. So there were quarrels, and this, I am
     sure, was one of them."
114,holmes,"Now would you mind going down and
     fetching that poor little devil of a terrier which has been bad so
     long, and which the landlady wanted you to put out of its pain
     yesterday."
115,holmes,"I think that your decision is a wise
     one. I have ample evidence that you are being dogged in London, and
     amid the millions of this great city it is difficult to discover who
     these people are or what their object can be. If their intentions are
     evil they might do you a mischief, and we should be powerless to
     prevent it. You did not know, Dr. Mortimer, that you were followed
     this morning from my house?"
116,holmes,"Pray give us the essential
     facts from the commencement, and I can afterwards question you as to
     those details which seem to me to be most important."
117,holmes,"Yes, Mr. I took the job myself. Its good to see you back in
     London, sir."
118,holmes,"If the launch is above water they will find her,"
119,holmes,"This great and sombre stage is set for something more worthy than
     that,"
120,holmes,"the bath! Why the relaxing and expensive
     Turkish rather than the invigorating home-made article?"
121,holmes,"if you can see the
     truth in this matter, do not keep me in suspense. How do I stand? What shall I do? I care nothing as to how you have found your facts
     so long as you have really got them."
122,holmes,"Possibly it is
     familiar to you. In any case, my business is that of every other good
     citizen--to uphold the law. It seems to me that you have much to
     answer for."
123,holmes,You would have done better to have trusted your wife.
124,holmes,"Well, I dont profess to understand it yet. This case of yours is
     very complex, Sir Henry. When taken in conjunction with your uncles
     death I am not sure that of all the five hundred cases of capital
     importance which I have handled there is one which cuts so deep. But
     we hold several threads in our hands, and the odds are that one or
     other of them guides us to the truth. We may waste time in following
     the wrong one, but sooner or later we must come upon the right."
125,holmes,"The ticket would have shown which station was nearest the agents
     house. Therefore he took it from the murdered mans pocket."
126,holmes,"what you can have to speak
     about which affects me personally in a very intimate fashion."
127,holmes,"Hardings evidence, and I
     could see that he was thoroughly satisfied by the turn which affairs
     were taking. He made no remark, however, save that, unless we
     hurried, we should be late for our appointment with Lestrade. Sure
     enough, when we reached Baker Street the detective was already there,
     and we found him pacing up and down in a fever of impatience. His
     look of importance showed that his days work had not been in vain."
128,holmes,"The circumstances are of great delicacy, and every precaution has to
     be taken to quench what might grow to be an immense scandal and
     seriously compromise one of the reigning families of Europe. To speak
     plainly, the matter implicates the great House of Ormstein,
     hereditary kings of Bohemia."
129,holmes,"It will
     require some checking and you have little time to check it. Your
     admiral may find the new guns rather larger than he expects, and the
     cruisers perhaps a trifle faster."
130,holmes,"most remarkable! I can hardly recall any case where the features have been more
     peculiar."
131,holmes,"Women are never to be
     entirely trusted,--not the best of them."
132,holmes,"He is an excellent and loyal
     person, but rather of the old regime. Shall we make him unbend? Dare
     we venture upon a slight liberty? He knows, we may conjecture,
     nothing of what has occurred."
133,holmes,"You
     may rely upon my doing all that I can."
134,holmes,"I was not sure whether I had left it here or in the
     Shipping Office. I would not lose that stick for the world."
135,holmes,
136,holmes,"And now, Lord
     Holdhurst, we have already taken up too much of your valuable time,
     and we shall wish you good-day."
137,holmes,"Mortimer, James, M.R.C.S., 1882, Grimpen, Dartmoor, Devon. House-surgeon, from 1882 to 1884, at Charing Cross Hospital. Winner
     of the Jackson prize for Comparative Pathology, with essay entitled
     Is Disease a Reversion? Corresponding member of the Swedish
     Pathological Society. Do We Progress? Medical Officer for the parishes of Grimpen, Thorsley, and High
     Barrow."
138,holmes,"that I may be of more use at Lamberley than
     here. It is eminently a case for personal investigation. If the lady
     remains in her room, our presence could not annoy or inconvenience
     her. Of course, we would stay at the inn."
139,holmes,"we have still ten minutes. I am going far to screen you, Lady Hilda. In return you will spend
     the time in telling me frankly the real meaning of this extraordinary
     affair."
140,holmes,"I presume, as I see blood-stains upon it,
     that it is the one which was found in the dead mans grasp. Watson,
     this knife is surely in your line?"
141,holmes,"Your theory holds
     together. But if this is true, then the case is at an end. On the one
     hand, the traitor is dead. On the other, the plans of the
     Bruce-Partington submarine are presumably already on the Continent. What is there for us to do?"
142,holmes,"Half an hour more or less can
     make no difference to you, and the gentleman was about to give us an
     account of this very interesting affair, which might aid us in
     clearing it up."
143,holmes,said the inspector. But Trevelyan and I looked at each other in bewilderment.
144,holmes,"I have not shut an eye
     since the tragedy, thinking, thinking, thinking, night and day, what
     the true meaning of it can be. Arthur was the most single-minded,
     chivalrous, patriotic man upon earth. He would have cut his right
     hand off before he would sell a State secret confided to his keeping. It is absurd, impossible, preposterous to anyone who knew him."
145,holmes,"Nothing of any importance. The mans novel, with which he had read
     himself to sleep was lying upon the bed, and his pipe was on a chair
     beside him. There was a glass of water on the table, and on the
     window-sill a small chip ointment box containing a couple of pills."
146,holmes,"I wished Mr. Acton to be present while I demonstrated this small
     matter to you,"
147,holmes,"Yes, the lodge-keeper brought it up. You said that you wished to see
     me here to avoid scandal."
148,holmes,"And now, sir, since
     you are here, we had best have a clear account from your own lips. My
     friend here knows nothing of the details."
149,holmes,"Official requisition for your services is in separate envelope. This
     is for your private eye. Wire me what train in the morning you can
     get for Birlstone, and I will meet it--or have it met if I am too
     occupied. This case is a snorter. Dont waste a moment in getting
     started. If you can bring Mr. We would think the whole thing had
     been fixed up for theatrical effect if there wasnt a dead man in the
     middle of it. My word! it is a snorter."
150,holmes,"May I ask if they are all large,
     able-bodied men with powerful voices?"
151,holmes,"It was just growing dusk at the time. They were lighting the lamps
     as I came back with the brandy."
152,holmes,"Audley Court was not an attractive locality. The narrow passage led
     us into a quadrangle paved with flags and lined by sordid dwellings. We picked our way among groups of dirty children, and through lines
     of discoloured linen, until we came to Number 46, the door of which
     was decorated with a small slip of brass on which the name Rance was
     engraved. On enquiry we found that the constable was in bed, and we
     were shown into a little front parlour to await his coming. He appeared presently, looking a little irritable at being disturbed
     in his slumbers."
153,holmes,I gazed with interest and some surprise upon the portrait.
154,holmes,"and brought em on sharp. Three
     bob and a tanner for tickets."
155,holmes,"I owe you a
     thousand apologies. I had no idea that you would be so affected."
156,holmes,"It was evidently taken by a snap-shot from a small camera. It
     represented an alert, sharp-featured simian man with thick eyebrows,
     and a very peculiar projection of the lower part of the face like the
     muzzle of a baboon."
157,holmes,"You are a man to be humored,
     and we all know that you are a connoisseur of crime, but duty is
     duty, and I have gone rather far in doing what you and your friend
     asked me. I shall feel more at ease when we have our story-teller
     here safe under lock and key. The cab still waits, and there are two
     inspectors down-stairs. I am much obliged to you both for your
     assistance. Of course you will be wanted at the trial. Good-night to
     you."
158,holmes,"In mere size and strength it was a terrible creature which was lying
     stretched before us. It was not a pure bloodhound and it was not a
     pure mastiff; but it appeared to be a combination of the two--gaunt,
     savage, and as large as a small lioness. Even now, in the stillness
     of death, the huge jaws seemed to be dripping with a bluish flame and
     the small, deep-set, cruel eyes were ringed with fire. I placed my
     hand upon the glowing muzzle, and as I held them up my own fingers
     smouldered and gleamed in the darkness."
159,holmes,"cried Phelps, as we began to move from the platform."
160,holmes,"They come at me like bullets. If you
     put it that Mrs. Douglas and Barker know the truth about the murder,
     and are conspiring to conceal it, then I can give you a whole-souled
     answer. I am sure they do. But your more deadly proposition is not so
     clear. Let us for a moment consider the difficulties which stand in
     the way."
161,holmes,"As my
     speech surely shows you, Mr. Altamont of Chicago had no existence in
     fact. I used him and he is gone."
162,holmes,"Well, let us hear about it. What sort of job did you
     make of it?"
163,holmes,"I was wondering if this was Queen Anne or
     Georgian."
164,holmes,"Our millionaire does not seem to shine in private life,"
165,holmes,"On the face of it, it seems absurd to suppose that this person knows
     anything, but if you think--"
166,holmes,"I knew your energetic nature, and that you would not be happy
     until you had been on the scene of the crime."
167,holmes,"He took up the paper in a listless way,
     but his attention instantly became riveted, and he gave a little cry
     of satisfaction."
168,holmes,"Now, if you
     please, we will get off on what I hope is the last stage of our
     journey."
169,holmes,"station of Shoscombe. The rack above us was covered
     with a formidable litter of rods, reels, and baskets. On reaching our
     destination a short drive took us to an old-fashioned tavern, where a
     sporting host, Josiah Barnes, entered eagerly into our plans for the
     extirpation of the fish of the neighbourhood."
170,holmes,I glanced down at the new patent leathers which I was wearing.
171,holmes,"He scribbled three or four words upon a sheet of his notebook, folded
     it, and handed it to the man."
172,holmes,"I confess that I share Dr. Mortimers belief that it will not be
     long before the missing boot is found."
173,holmes,"About nine oclock the light among the trees was extinguished, and
     all was dark in the direction of the Manor House. Two hours passed
     slowly away, and then, suddenly, just at the stroke of eleven, a
     single bright light shone out right in front of us."
174,holmes,"It was burned to a black cinder, but there could be no question as to
     its anatomical significance."
175,holmes,"Come, Watson! And you, Lestrade, could you favour us with your company for an hour
     or two? We will begin our investigation by a visit to Aldgate
     Station. Good-bye, Mycroft. I shall let you have a report before
     evening, but I warn you in advance that you have little to expect."
176,holmes,"I
     go into a case to help the ends of justice and the work of the
     police. If I have ever separated myself from the official force, it
     is because they have first separated themselves from me. I have no
     wish ever to score at their expense. At the same time, Mr. White
     Mason, I claim the right to work in my own way and give my results at
     my own time--complete rather than in stages."
177,holmes,"That will do, Mr. Wilson. I shall be happy to give you an opinion
     upon the subject in the course of a day or two. To-day is Saturday,
     and I hope that by Monday we may come to a conclusion."
178,holmes,"He had started running swiftly over the moor, and I had followed at
     his heels. But now from somewhere among the broken ground immediately
     in front of us there came one last despairing yell, and then a dull,
     heavy thud. We halted and listened. Not another sound broke the heavy
     silence of the windless night. He
     stamped his feet upon the ground."
179,holmes,"This side, sir. This narrow margin of grass between the path and the
     flower-bed. I cant see the traces now, but they were clear to me
     then."
180,holmes,"Sharp at the hour named Inspector Stanley Hopkins appeared, and we
     sat down together to the excellent breakfast which Mrs. Hudson had
     prepared. The young detective was in high spirits at his success."
181,holmes,"What are we here for at all? I really think that you might treat us
     with more frankness."
182,holmes,"I
     did not anticipate that you would yourself make use of this empty
     house and this convenient front window. I had imagined you as
     operating from the street, where my friend Lestrade and his merry men
     were awaiting you. With that exception all has gone as I expected."
183,holmes,"They were on his tray this morning. I brought them because I had
     heard that you can read great things out of small ones."
184,holmes,"Thank you! Now,
     Cartwright, there are the names of twenty-three hotels here, all in
     the immediate neighbourhood of Charing Cross. Do you see?"
185,holmes,From one or two friends there on the occasion of my marriage.
186,holmes,"Still, I confess that I miss my rubber. It is the
     first Saturday night for seven-and-twenty years that I have not had
     my rubber."
187,holmes,"I think, your Grace, that this can only be
     done by absolute and complete frankness between us. I am disposed to
     help your Grace to the best of my ability; but in order to do so I
     must understand to the last detail how the matter stands. I realize
     that your words applied to Mr. James Wilder, and that he is not the
     murderer."
188,holmes,"A threadbare and venerable device, but useful upon occasion. I
     walked into the doctors yard this morning and shot my syringe full
     of aniseed over the hind wheel. A draghound will follow aniseed from
     here to John o Groats, and our friend Armstrong would have to drive
     through the Cam before he would shake Pompey off his trail. Oh, the
     cunning rascal! This is how he gave me the slip the other night."
189,holmes,"Well, that is the curious part of it. You could have got fifteen to
     one yesterday, but the price has become shorter and shorter, until
     you can hardly get three to one now."
190,holmes,"Oh, one more word. You have
     not mentioned to any of the three gentlemen whom you attend that
     anything is amiss?"
191,holmes,"Human nature is a strange mixture, Watson. You see that even a
     villain and murderer can inspire such affection that his brother
     turns to suicide when he learns that his neck is forfeited. However,
     we have no choice as to our action. The doctor and I will remain on
     guard, Mr. Pycroft, if you will have the kindness to step out for the
     police."
192,holmes,"Our visitor again passed his hand over his forehead, as if he found
     it bitterly hard. From every gesture and expression I could see that
     he was a reserved, self-contained man, with a dash of pride in his
     nature, more likely to hide his wounds than to expose them. Then
     suddenly, with a fierce gesture of his closed hand, like one who
     throws reserve to the winds, he began."
193,holmes,"that if the matter is beyond humanity it is
     certainly beyond me. Yet we must exhaust all natural explanations
     before we fall back upon such a theory as this. As to yourself, Mr. Tregennis, I take it you were divided in some way from your family,
     since they lived together and you had rooms apart?"
194,holmes,"Milverton had glided as quick as a rat to the side of the room, and
     stood with his back against the wall."
195,holmes,"well talk about it when weve had
     something to eat."
196,holmes,"Oh, yes! In a hundred other ways he has helped him. Everybody about
     here speaks of his kindness to him."
197,holmes,"Dear me, this is very disappointing! I fear, Watson, that all our
     expectations come to nothing. I trust that the man Porlock will come
     to no harm."
198,holmes,"he was as you say. I have heard that he was
     atrocious. But how are you affected?"
199,holmes,"and you had best take a pull out of my
     flask, for you are very wet. How could you expect so small and weak a
     man as this black fellow to overpower Mr. Sholto and hold him while
     you were climbing the rope?"
200,holmes,"Mr. Woodley seemed to me to be a most odious person. He was for ever
     making eyes at me--a coarse, puffy-faced, red-moustached young man,
     with his hair plastered down on each side of his forehead. I thought
     that he was perfectly hateful--and I was sure that Cyril would not
     wish me to know such a person."
201,holmes,"Is this cove trying to be funny, or what? Im not in the funny mood
     myself."
202,holmes,"and let me have a clear
     account of who you are and what it is that has befallen you."
203,holmes,"I do not know how the bank can thank you or repay you. There is no doubt that you have detected and defeated in the most
     complete manner one of the most determined attempts at bank robbery
     that have ever come within my experience."
204,holmes,"With all our precautions, you see that we have cut it rather fine,"
205,holmes,"said the driver, pointing to a cluster of
     roofs some distance to the left;"
206,holmes,"How did you know, for example, that I did manual
     labour. Its as true as gospel, for I began as a ships carpenter."
207,holmes,"I have had one or two little scores of my own to settle with Mr. John Clay,"
208,holmes,"Come, come, we are not so far wrong, after all,"
209,holmes,"And the wolfhound no doubt disapproved of the financial bargain. No,
     no, Watson, there is more in it than this. Now, I can only suggest--"
210,holmes,"Yes, it was the devil himself. We have not had a peaceful hour
     since--not one. The governor has never held up his head from that
     evening, and now the life has been crushed out of him and his heart
     broken, all through this accursed Hudson."
211,holmes,"But our expedition of to-night will
     solve them all. Ah, here is a four-wheeler, and Miss Morstan is
     inside. Are you all ready? Then we had better go down, for it is a
     little past the hour."
212,holmes,"Well, I have
     drawn my circle, and I only wish I knew at what point upon it the
     folk that we are in search of are to be found."
213,holmes,"But you have read the evidence. You have formed some conclusion? Do
     you not see some loophole, some flaw? Do you not yourself think that
     he is innocent?"
214,holmes,"for you
     have certainly cleared up everything which puzzled us. And here comes
     the country surgeon and Mrs. Rucastle, so I think, Watson, that we
     had best escort Miss Hunter back to Winchester, as it seems to me
     that our locus standi now is rather a questionable one."
215,holmes,"I am sure we owe you an apology, Mrs. Toller,"
216,holmes,"The
     august person who employs me wishes his agent to be unknown to you,
     and I may confess at once that the title by which I have just called
     myself is not exactly my own."
217,holmes,"If its a local villain there should not be much difficulty in
     running him down,"
218,holmes,Perhaps she could not or would not have told you much.
