number,character,quote
110,sh,"The old hall, oak-panelled and high-windowed, had been turned into a
     court of investigation. Holmes sat in a great, old-fashioned chair,
     his inexorable eyes gleaming out of his haggard face. I could read in
     them a set purpose to devote his life to this quest until the client
     whom he had failed to save should at last be avenged. The trim
     Inspector Martin, the old, grey-headed country doctor, myself, and a
     stolid village policeman made up the rest of that strange company.

     The two women told their story clearly enough. They had been aroused
     from their sleep by the sound of an explosion, which had been
     followed a minute later by a second one. They slept in adjoining
     rooms, and Mrs. King had rushed in to Saunders. Together they had
     descended the stairs. The door of the study was open and a candle was
     burning upon the table. Their master lay upon his face in the centre
     of the room. He was quite dead. Near the window his wife was
     crouching, her head leaning against the wall. She was horribly
     wounded, and the side of her face was red with blood. She breathed
     heavily, but was incapable of saying anything. The passage, as well
     as the room, was full of smoke and the smell of powder. The window
     was certainly shut and fastened upon the inside. Both women were
     positive upon the point. They had at once sent for the doctor and for
     the constable. Then, with the aid of the groom and the stable-boy,
     they had conveyed their injured mistress to her room. Both she and
     her husband had occupied the bed. She was clad in her dress--he in
     his dressing-gown, over his night clothes. Nothing had been moved in
     the study. So far as they knew there had never been any quarrel
     between husband and wife. They had always looked upon them as a very
     united couple.

     These were the main points of the servants' evidence. In answer to
     Inspector Martin they were clear that every door was fastened upon
     the inside, and that no one could have escaped from the house. In
     answer to Holmes they both remembered that they were conscious of the
     smell of powder from the moment that they ran out of their rooms upon
     the top floor."
111,sh,"She hated me, Mr. Holmes. She hated me with all the fervour of her
     tropical nature. She was a woman who would do nothing by halves, and
     the measure of her love for her husband was the measure also of her
     hatred for me. It is probable that she misunderstood our relations. I
     would not wish to wrong her, but she loved so vividly in a physical
     sense that she could hardly understand the mental, and even
     spiritual, tie which held her husband to me, or imagine that it was
     only my desire to influence his power to good ends which kept me
     under his roof. I can see now that I was wrong. Nothing could justify
     me in remaining where I was a cause of unhappiness, and yet it is
     certain that the unhappiness would have remained even if I had left
     the house."
112,sh,No one could have known. We only decided after I met Dr. Mortimer.
113,mm,"I thought they would be at hand somewhere after they’d given me the whistle. I do not think it was a difficult house to which to gain access, there were no shuttered windows or burglar alarms or anything of that kind. One of them came back on the pretext of having left a handbag and a scarf. Between them they probably managed to leave a window unfastened, and I should imagine they came back into the house almost as soon as they left it, while the inhabitants inside were going up to bed."
114,mm,"Well, really, my dear, that’s very kind of you. I’ve always wanted to have the chance of looking for buried treasure. And,"
115,mm,"She talks of going to live abroad again. At Taormina, I think. She was there with her husband a lot and they were very happy. She’s been at home with us now for many years, but she seems to have this longing to get away and to travel. Sometimes I think—sometimes I think she doesn’t like being in the same house as Anthea."
116,hp,That fits in with my idea. A man from London or somewhere.
117,sh,"There was a paragraph amplifying this in one of the society papers
     of the same week. Ah, here it is:"
118,sh,"But
     I would not have let the young man come to harm. I give you my word
     that I would have spoken out if it went against him at the Assizes."
119,mm,Because the interpretation is up to you. I want to see if you’re as clever as you always make out.
120,hp,"And unluckily I didn’t hear anything at all. I can’t think why not. After all, Linnet’s cabin is only one away from mine. I should think I’d have been bound to hear the shot. Go along, Tim; they’re waiting for you."
121,mm,"No, no, my dear young lady. You need have no fears on that score. The story I am about to tell is a perfectly simple and straightforward one and can be followed by any layman."
122,hp,"To Let’ sign appeared in the windows. On the other side was a house with somewhat grimy muslin curtains.

To this house Poirot betook himself and, there being no bell, executed a series of sharp flourishes with the knocker.

The door was opened after some delay by a very dirty child with a nose that needed attention.

“Good evening,"
123,hp,"Your full Christian names and address, Madame. Perhaps you would prefer to write them yourself?"
124,mm,"It’s a nice day, it is. I see you’ve got your curtains drawn back already. You’ve slept well then?"
125,sh,"were scrawled upon one
     side. It was pierced in the brim for a hat-securer, but the elastic
     was missing. For the rest, it was cracked, exceedingly dusty, and
     spotted in several places, although there seemed to have been some
     attempt to hide the discoloured patches by smearing them with ink."
126,mm,"He told me, you know, when I first worked for him, that he was going to give me a very good salary but that I would have to save out of it because I needn’t expect to have anything more from him. Well, I certainly didn’t expect to have anything more from him. He was very much a man of his word, wasn’t he? But apparently he changed his mind."
127,mm,"I know just the sort of thing you mean, dear,"
128,sh,"Inspector Martin had the good sense to allow my friend to do things
     in his own fashion, and contented himself with carefully noting the
     results. The local surgeon, an old, white-haired man, had just come
     down from Mrs. Hilton Cubitt's room, and he reported that her
     injuries were serious, but not necessarily fatal. The bullet had
     passed through the front of her brain, and it would probably be some
     time before she could regain consciousness. On the question of
     whether she had been shot or had shot herself he would not venture to
     express any decided opinion. Certainly the bullet had been discharged
     at very close quarters. There was only the one pistol found in the
     room, two barrels of which had been emptied. Mr. Hilton Cubitt had
     been shot through the heart. It was equally conceivable that he had
     shot her and then himself, or that she had been the criminal, for the
     revolver lay upon the floor midway between them."
129,sh,"We got off, paid our fare, and the trap rattled back on its way to
     Leatherhead."
130,sh,"I could see that the end had not been in his mouth. Therefore he
     used a holder. The tip had been cut off, not bitten off, but the cut
     was not a clean one, so I deduced a blunt pen-knife."
131,sh,"I have to thank you for a good deal,"
132,hp,"Now then, you old dog. I know you Frenchmen!"
133,sh,"Mrs. Lyons had resumed her seat. Her hands were grasping the arms of
     her chair, and I saw that the pink nails had turned white with the
     pressure of her grip."
134,mm,"About a very beautiful girl whom you killed,"
135,mm,"I haven’t told you that yet. The day was fixed. The time, the hour and the place, and I waited. Waited for a bride and bridegroom who didn’t come, who sent no word, no excuse, nothing. I didn’t know why! I never have known why. It still seems to me unbelievable. Unbelievable, I mean, not that they did not come, that could be explicable easily enough, but that they sent no word. Some scrawled line of writing. And that is why I wondered and hoped that Elizabeth Temple, before she died, might have told you something. Given you some message perhaps for me. If she knew or had any idea that she was dying, she might have wanted to get a message to me."
136,sh,that you left your key in the door?
137,sh,"this is surely most unfair and ungenerous upon your
     part. I desired, as I have explained, to keep my visit to you a
     secret, lest my husband should think that I was intruding into his
     affairs. And yet you compromise me by coming here and so showing that
     there are business relations between us."
138,hp,"Now, may I ask you a few questions?"
139,mm,"I really feel I owe a great deal to Mary, I am so thankful I had the resolution to get rid of that other girl. Mary is really invaluable. Cooks nicely and waits beautifully and keeps our little flat scrupulously clean—mattresses turned over every day. And she is really wonderful with Emily!"
140,hp,Sure. Get right on with it and let me clear my character if I can.
141,mm,keep your beliefs. Heaven forbid that I should in any way shatter them.
142,hp,"that proves at least that Cassetti—or Ratchett, as I shall continue to call him—was certainly alive at twenty minutes to one."
143,hp,"Ah! but that raises rather an interesting question. They would notice a stranger undoubtedly—but would they have even noticed a member of the expedition? The members of the staff are passing in and out all day. The servants would hardly notice their going and coming. It is possible, I think, that either Mr. Carey or Mr. Coleman might have entered and the servants’ minds would have no remembrance of such an event."
144,hp,"Oh yes, I do. The string broke. It was loosely done up in the way they do in the village. It was candles—they were scattered on the floor. I helped her to pick them up."
145,sh,"Have you, though? You haven't been slow on the job if you only
     started this morning. Maybe dear Adelbert has met his match this
     time. The outer study is the one with the Chinese crockery in it--big
     glass cupboard between the windows. Then behind his desk is the door
     that leads to the inner study--a small room where he keeps papers and
     things."
146,mm,I had rather an unusual letter from a firm of solicitors.
147,sh,"Ah, yes, the box. The professor brought back a little wooden box
     from his travels. It was the one thing which suggested a Continental
     tour, for it was one of those quaint carved things which one
     associates with Germany. This he placed in his instrument cupboard.
     One day, in looking for a canula, I took up the box. To my surprise
     he was very angry, and reproved me in words which were quite savage
     for my curiosity. It was the first time such a thing had happened,
     and I was deeply hurt. I endeavoured to explain that it was a mere
     accident that I had touched the box, but all the evening I was
     conscious that he looked at me harshly and that the incident was
     rankling in his mind."
148,hp,"I don’t see how you make that out,"
149,mm,"I thought this might have been something to do with her or something she knew about,"
150,hp,"You think that this girl, Jacqueline de Bellefort, is incapable of a premeditated cold-blooded murder?"
151,sh,"The Inspector here has done all that could possibly be
     suggested, but I wish to leave no stone unturned in trying to avenge
     poor Straker and in recovering my horse."
152,hp,"Yes, it’s much the best thing. It’s not been any too easy loafing about the house and making conversation."
153,hp,And I don’t believe that Linda killed Arlena. It’s ridiculous—absurd!
154,mm,"but you don’t know as much of life as I do. A man of that Jones’s type—coarse and jovial. As soon as I heard there was a pretty young girl in the house I felt sure that he would not have left her alone. It is all very distressing and painful, and not a very nice thing to talk about. I can’t tell you the shock it was to Mrs. Hargraves, and a nine days’ wonder in the village."
155,hp,"Yes, you are right. A cold-blooded and cruel woman. For me, I was in great difficulty. Was Linda guilty only of the childish attempt at witchcraft, or had her hate carried her still further—to the actual act? I tried to get her to confess to me. But it was no good. At that moment I was in grave uncertainty. The Chief Constable was inclined to accept the dope smuggling explanation. I couldn’t let it go at that. I went over the facts again very carefully. I had, you see, a collection of jig-saw puzzle pieces, isolated happenings—plain facts. The whole must fit into a complete and harmonious pattern. There were the scissors found on the beach—a bottle thrown from a window—a bath that no one would admit to having taken—all perfectly harmless occurrences in themselves, but rendered significant by the fact that no one would admit to them. Therefore, they must be of significance. Nothing about them fitted in with the theories of either Captain Marshall’s or Linda’s, or of a dope gang’s being responsible. And yet they must have meaning. I went back again to my first solution—that Patrick Redfern had committed the murder. Was there anything in support of that? Yes, the fact that a very large sum of money was missing from Arlena’s account. Who had got that money? Patrick Redfern of course. She was the type of woman easily swindled by a handsome young man—but she was not at all the type of woman to be blackmailed. She was far too transparent, not good enough at keeping a secret. The blackmailer story had never rung true to my mind. And yet there had been that conversation overheard—ah, but overheard by whom? Patrick Redfern’s wife. It was her story—unsupported by any outside evidence. Why was it invented? The answer came to me like lightning. To account for the absence of Arlena’s money!

“Patrick and Christine Redfern. The two of them were in it together. Christine hadn’t got the physical strength to strangle her or the mental makeup. No, it was Patrick who had done it—but that was impossible! Every minute of his time was accounted for until the body was found.

“Body—the word stirred something in my mind—bodies lying on the beach—all alike. Patrick Redfern and Emily Brewster had got to the Cove and seen a body lying there. A body—suppose it was not Arlena’s body but somebody else’s? The face was hidden by the great Chinese hat.

“But there was only one dead body—Arlena’s. Then, could it be—a live body—someone pretending to be dead? Could it be Arlena herself, inspired by Patrick to play some kind of a joke. I shook my head—no, too risky. A live body—whose? Was there any woman who would help Redfern? Of course—his wife. But she was a white-skinned delicate creature. Ah yes, but suntan can be applied out of bottles—bottles—I had one of my jig-saw pieces. Yes, and afterwards, of course, a bath—to wash that telltale stain off before she went out to play tennis. And the scissors? Why, to cut up that duplicate cardboard hat—an unwieldy thing that must be got out of the way, and in the haste the scissors were left behind—the one thing that the pair of murderers forgot.

“But where was Arlena all the time? That again was perfectly clear. Either Rosamund Darnley or Arlena Marshall had been in the Pixy’s Cave, the scent they both used told me that. It was certainly not Rosamund Darnley. Then it was Arlena, hiding till the coast should clear.

“When Emily Brewster went off in the boat, Patrick had the beach to himself and full opportunity to commit the crime. Arlena Marshall was killed after a quarter to twelve, but the medical evidence was only concerned with the earliest possible time the crime could have been committed. That Arlena was dead at a quarter to twelve was what was told to the doctor, not what he told the police.

“Two more points had to be settled. Linda Marshall’s evidence gave Christine Redfern an alibi. Yes, but that evidence depended on Linda Marshall’s wristwatch. All that was needed was to prove that Christine had had two opportunities of tampering with the watch. I found those easily enough. She had been alone in Linda’s room that morning—and there was an indirect proof. Linda was heard to say that she was ‘afraid she was going to be late,’ but when she got down it was only twenty-five past ten by the lounge clock. The second opportunity was easy—she could alter the watch back again as soon as Linda turned her back and went down to bathe.

“Then there was the question of the ladder. Christine had always declared she had no head for heights. Another carefully prepared lie.

“I had my mosaic now—each piece beautifully fitted into its place. But, unfortunately, I had no definite proof. It was all in my mind.

“It was then that an idea came to me. There was an assurance—a slickness about the crime. I had no doubt that in the future Patrick Redfern would repeat his crime. What about the past? It was remotely possible that this was not his first killing. The method employed, strangulation, was in harmony with his nature—a killer for pleasure as well as for profit. If he was already a murderer I was sure that he would have used the same means. I asked Inspector Colgate for a list of women victims of strangulation. The result filled me with joy. The death of Nellie Parson found strangled in a lonely copse might or might not be Patrick Redfern’s work—it might merely have suggested choice of locality to him, but in Alice Corrigan’s death I found exactly what I was looking for. In essence the same method. Juggling with time—a murder committed not, as is the usual way, before it is supposed to have happened, but afterwards. A body supposedly discovered at a quarter past four. A husband with an alibi up to twenty-five past four.

“What really happened? It was said that Edward Corrigan arrived at the Pine Ridge, found his wife not there, and went out and walked up and down. Actually, of course, he ran full speed to the rendezvous, Caesar’s Grove (which you will remember was quite nearby), killed her and returned to the café. The girl hiker who reported the crime was a most respectable young lady, games mistress in a well-known girls’ school. Apparently she had no connection with Edward Corrigan. She had to walk some way to report the death. The police surgeon only examined the body at a quarter to six. As in this case the time of death was accepted without question.

“I made one final test. I must know definitely if Mrs. Redfern was a liar. I arranged our little excursion to Dartmoor. If anyone has a bad head for heights, they are never comfortable crossing a narrow bridge over running water. Miss Brewster, a genuine sufferer, showed giddiness. But Christine Redfern, unconcerned, ran across without a qualm. It was a small point, but it was a definite test. If she had told one unnecessary lie—then all the other lies were possible. In the meantime Colgate had got the photograph identified by the Surrey Police. I played my hand in the only way I thought likely to succeed. Having lulled Patrick Redfern into security, I turned on him and did my utmost to make him lose his self-control. The knowledge that he had been identified with Corrigan caused him to lose his head completely."
156,hp,Alas! I have shocked you. First my inertia—and then my views.
157,sh,"I was lying awake about two in the morning, when I was
     aware of a dull muffled sound coming from the passage. I opened my
     door and peeped out. I should explain that the professor sleeps at
     the end of the passage--"
