number,character,quote
24,sh,"Perhaps I should have said 'replaced it there,'"
25,mm,"but he selected you, Miss Marple. Forgive me if this is idle curiosity but have you had—oh, how shall I put it?—any connection with crime or the investigation of crime?"
26,mm,There was nothing of that kind to find. I asked him to tell me a little about you. He did not however consent to do so. He told me you were elderly. He told me that you were a person who knew about people. He told me one other thing.
27,mm,by the dying wishes of Michael Rafiel’s father. He asked me to do this for him.
28,sh,"But, I say, what about that bloomin' fiddle!
     I hear it yet."
29,mm,"Nothing, I believe, is so full of life under the microscope as a drop of water from a stagnant pool."
30,mm,"that we’re all inclined to let our tongues run away with us too much. Charity thinketh no evil, you know. Inestimable harm may be done by foolish wagging of tongues in ill-natured gossip."
31,sh,"I rather fancy that this lady
     may be as anxious to give us information as we can be to get it. You
     understand, madam, that your husband will be arrested and tried for
     the death of the man who lies before us? What you say may be used in
     evidence. But if you think that he has acted from motives which are
     not criminal, and which he would wish to have known, then you cannot
     serve him better than by telling us the whole story."
32,hp,Princess Dragomiroff has great personality and immense will power. But let us pass from that for the moment.
33,sh,"Indirectly it may be of value,
     you know; you have only to put it into words to gain the reputation
     of being excellent company for the remainder of your existence."
34,hp,"Your responsibility, Mr. Pennington, and that of your partner, has been a very grave one."
35,hp,"That depends. I’d say, looking at Marshall, that he’s a man with a funny kind of temper. As a matter of fact, I know he is. Heard something about him. I’ve met that quiet sort. Never know where you are with that kind. Redfern had better look out—"
36,mm,"of writing a name—the name—on a piece of paper and giving it to you. Then if, on investigation, you decided that the—the person—is not involved in any way—well, I shall have been quite wrong."
37,sh,"I will ask you to carry in two bundles of it. I think
     it will be of the greatest assistance in producing the witness whom I
     require. Thank you very much. I believe you have some matches in your
     pocket, Watson. Now, Mr. Lestrade, I will ask you all to accompany me
     to the top landing."
38,mm,"I really can’t say. You see, it was such an ordinary sound. I should be inclined to think it had been fired when we were in the studio. The sound would have been deadened and—one would have noticed it less there."
39,sh,"I confess that you had one small surprise for me,"
40,hp,"I think you are wrong, my friend. I do not see that young English girl as a criminal."
41,mm,Yes. I saw her pass through the garden and go round to the study window.
42,mm,"but really you know, I’m not so young and vigorous as you are, Mrs. Riseley-Porter, and I really feel after all the—well, shock and everything else the last few days, I really must have a complete twenty-four hours’ rest."
43,mm,"Half the time I was ashamed of myself for thinking so. Who was I to go suspecting this nice, pleasant-mannered English lady of a foul and cold-blooded crime? I did my best to be as cordial as possible to her during the short time she stayed on the island. I helped her with the Spanish authorities. I did everything I could do as an Englishman to help a compatriot in a foreign country; and yet I am convinced that she knew I suspected and disliked her."
44,sh,"let us go round. Not one of your cases,
     Watson--mental, not physical. All right; come if you want to. Now,
     Mr. Soames--at your disposal!"
45,hp,"I’ve no doubt that Crome is a very efficient officer, but, frankly, he puts my back up. That air of his of knowing best! I hinted something of what I had in mind to your friend here when he was down at Churston, but I’ve had all my brother’s affairs to settle up and I haven’t been free until now. My idea is, M. Poirot, that we oughtn’t to let the grass grow under our feet—"
46,hp,"At last we have a piece of information that is very definite. That tells one something, does it not?"
47,sh,"In mere size and strength it was a terrible creature which was lying
     stretched before us. It was not a pure bloodhound and it was not a
     pure mastiff; but it appeared to be a combination of the two--gaunt,
     savage, and as large as a small lioness. Even now, in the stillness
     of death, the huge jaws seemed to be dripping with a bluish flame and
     the small, deep-set, cruel eyes were ringed with fire. I placed my
     hand upon the glowing muzzle, and as I held them up my own fingers
     smouldered and gleamed in the darkness."
48,sh,"THE ADVENTURE OF CHARLES AUGUSTUS MILVERTON

     It is years since the incidents of which I speak took place, and yet
     it is with diffidence that I allude to them. For a long time, even
     with the utmost discretion and reticence, it would have been
     impossible to make the facts public; but now the principal person
     concerned is beyond the reach of human law, and with due suppression
     the story may be told in such fashion as to injure no one. It records
     an absolutely unique experience in the career both of Mr. Sherlock
     Holmes and of myself. The reader will excuse me if I conceal the date
     or any other fact by which he might trace the actual occurrence.

     We had been out for one of our evening rambles, Holmes and I, and had
     returned about six o'clock on a cold, frosty winter's evening. As
     Holmes turned up the lamp the light fell upon a card on the table. He
     glanced at it, and then, with an ejaculation of disgust, threw it on
     the floor. I picked it up and read:--

                                        
                             Charles Augustus Milverton,
                                        
                                  Appledore Towers,
                                        
                                     Hampstead.
                                        
                                       Agent."
49,mm,not an enthusiastic young man. He could have thanked you a bit more enthusiastically for what you did for him.
50,mm,"As I said, it would be useless going to the police without any facts. I have no facts. What I would ask you to do is to interest yourself in the matter—Inspector Drewitt would be most flattered, I am sure. And, of course, if the matter went farther, Colonel Melchett, the Chief Constable, I am sure, would be wax in your hands."
51,sh,"Exactly. The idea crossed my mind. But we found the knife some feet
     away from the body, so that seems impossible. Then, of course, there
     are the man's own dying words. And, finally, there was this very
     important piece of evidence which was found clasped in the dead man's
     right hand."
52,hp,You don’t understand—or you won’t. Simon is my world.
53,mm,How clever of you. And I never thought of poor Mrs. Pebmarsh.
54,hp,"And unluckily I didn’t hear anything at all. I can’t think why not. After all, Linnet’s cabin is only one away from mine. I should think I’d have been bound to hear the shot. Go along, Tim; they’re waiting for you."
55,sh,"We started off for the cab together, leaving our informant
     incredulous, but obviously uncomfortable."
56,sh,"Then your wife's character would really be better known by Dolores
     than by you?"
57,mm,"You see the point? The pen was filled with what is commonly known as Evanescent Ink—a solution of starch in water to which a few drops of iodine has been added. This makes a deep blue-black fluid, but the writing disappears entirely in four or five days."
58,hp,I know it. He loved me—he will always love me.
59,sh,"We have had a charming little breath of your beautiful Dartmoor
     air."
60,sh,"You place me in a most serious dilemma, for I am perfectly
     certain that you would be proud to take over the case if I could give
     you the facts, and yet a promise forbids me from revealing them all.
     May I, at least, lay all that I can before you?"
61,sh,"That is so. Someone, then, cut out the message with a pair of
     short-bladed scissors, pasted it with paste--"
62,sh,"Your Majesty has something which I should value even more highly,"
63,mm,"You see, I don’t really know what I ought to do. I can’t ask Julian because—well, I mean, Julian’s so full of rectitude. . . ."
64,sh,"Very interesting reading it might be made, too,"
65,sh,"Mr. Gibson
     seems to have a nice loyal household. But the warning is a useful
     one, and now we can only wait till the man himself appears."
66,mm,"Don’t look at me as though I were an interesting specimen you didn’t understand, Len. Don’t let’s get heated and wander from the point. I don’t believe that it was Lawrence or Anne, and Lettice is out of the question. There must be some clue or other that would help us."
67,hp,"Me, I am like Miss Brewster and Mrs. Redfern, I do not like to descend perpendicular ladders."
68,hp,"But I do believe it. Yes, yes, I do believe it!"
69,sh,"Here, Lestrade, your brandy-bottle! Put
     her in the chair! She has fainted from ill-usage and exhaustion."
70,sh,"I was about to say, as he is unknown to the public."
71,sh,"It took two, or possibly three,
     handfuls before the lodger came to the window. You beckoned him to
     come down. He dressed hurriedly and descended to his sitting-room.
     You entered by the window. There was an interview--a short
     one--during which you walked up and down the room. Then you passed
     out and closed the window, standing on the lawn outside smoking a
     cigar and watching what occurred. Finally, after the death of
     Tregennis, you withdrew as you had come. Now, Dr. Sterndale, how do
     you justify such conduct, and what were the motives for your actions?
     If you prevaricate or trifle with me, I give you my assurance that
     the matter will pass out of my hands forever."
72,hp,"Strangled with her own belt—a thick, knitted affair, I gather."
73,hp,"Yes—that is it. There is the ornamental work on it—and the initials J.B. It is an article de luxe, a very feminine production, but it is none the less a lethal weapon."
74,mm,"It’s very, very thrilling. I don’t quite understand now who drowned which. And how does this Mrs. Trout come into it?"
75,mm,You mean it was someone pretending to be her? But surely when you touched her—
76,mm,"I think it was about a fortnight. Miss Durrant was buried there, and it must have been about ten days later when she took a boat back to England. The shock had upset her so much that she felt she couldn’t spend the winter there as she had planned. That’s what she said."
77,hp,"I’m sure I’m right. When a woman’s neither more nor less than a nasty mess, then she herself will provide the best possible clue. Don’t you agree with me, M. Poirot?"
78,hp,"I know. That is quite true. The thing was impossible. It was impossible, but it was also true! There could be only one logical meaning behind Louise Bourget’s words.

“So I returned to the beginning and reviewed the crime in the light of this new knowledge. Was it possible that in the period preceding the quarrel Simon Doyle had left the saloon and the others had forgotten or not noticed it? I could not see that it was possible. Could the skilled testimony of Dr. Bessner and Mademoiselle Bowers be disregarded? Again I felt sure it could not. But, I remembered, there was a gap between the two. Simon Doyle had been alone in the saloon for a period of five minutes, and the skilled testimony of Dr. Bessner only applied to the time after that period. For that period we had only the evidence of visual appearance, and, though apparently that was perfectly sound, it was no longer certain. What had actually been seen—leaving assumption out of the question?

“Mademoiselle Robson had seen Mademoiselle de Bellefort fire her pistol, had seen Simon Doyle collapse on to a chair, had seen him clasp a handkerchief to his leg and seen that handkerchief gradually soak through red. What had Monsieur Fanthorp heard and seen? He heard a shot, he found Doyle with a red-stained handkerchief clasped to his leg. What had happened then? Doyle had been very insistent that Mademoiselle de Bellefort should be got away, that she should not be left alone. After that, he suggested that Fanthorp should get hold of the doctor.

“Accordingly Mademoiselle Robson and Monsieur Fanthorp got out with Mademoiselle de Bellefort and for the next five minutes they are busy, on the port side of the deck. Mademoiselle Bowers’, Dr. Bessner’s and Mademoiselle de Bellefort’s cabins are all on the port side. Two minutes are all that Simon Doyle needs. He picks up the pistol from under the sofa, slips out of his shoes, runs like a hare silently along the starboard deck, enters his wife’s cabin, creeps up to her as she lies asleep, shoots her through the head, puts the bottle that has contained the red ink on her washstand (it mustn’t be found on him), runs back, gets hold of Mademoiselle Van Schuyler’s velvet stole, which he has quietly stuffed down the side of a chair in readiness, muffles it round the pistol and fires a bullet into his leg. His chair into which he falls (in genuine agony this time) is by a window. He lifts the window and throws the pistol (wrapped up with the telltale handkerchief in the velvet stole) into the Nile."
79,hp,"After that, Monsieur? I answered your bell and brought you some mineral water. Then, about half an hour later, I made up the bed in one of the other compartments—that of the young American gentleman, M. Ratchett’s secretary."
80,sh,We were in time to overtake the major before he reached the corner.
81,hp,I mean that this is not a crime that was committed single-handed. Two people were in it. It is quite true that you could not have typed that letter and at the same time gone to the cove—but there would have been time for you to have jotted down that letter in shorthand—and for someone else to have typed it in your room while you yourself were absent on your murderous errand.
82,mm,"I have a very nice catalogue here, with pictures. Perhaps you would like to look through it—I have to go up to the village."
83,sh,"Well, well, you may see for yourself. If not, there's no harm done.
     Of course, we always have the optician clue to fall back upon, but I
     take a short cut when I can get it. Ah, here is the good Mrs. Marker!
     Let us enjoy five minutes of instructive conversation with her."
84,sh,"As
     for the article I wrote it myself."
85,hp,"Mind you, I don’t believe in it, because I know it isn’t true. But it is going to be the deuce to break it. This man Strange is a tough character."
86,sh,"Your case is an exceedingly
     remarkable one, and I shall be happy to look into it. From what you
     have told me I think that it is possible that graver issues hang from
     it than might at first sight appear."
87,hp,"Never mind what I mean. You do not know what I mean. It is true, then, that you have said to yourself or to a colleague today, ‘that is funny!’?"
88,mm,"You must have very good eyesight, Miss Marple, if you can observe as far as that."
89,hp,"Surely. You have known Linnet Ridgeway, I understand, since she was quite a child."
90,mm,"The other girl who disappeared about the same time as Verity Hunt did. You remember you mentioned her to me. A girl who had boyfriends and was, I understand, very ready to have boyfriends. A foolish girl, but attractive apparently to the male sex. I think,"
91,sh,"But suppose it were so, we are still as far as ever from unravelling
     the mystery of his death. Indeed, it becomes not simpler but
     stranger."
92,sh,"No crime, but a very great error has been committed,"
93,hp,Did you hear any noise from M. Ratchett’s compartment after that?
94,mm,"I just came to see if you wanted anything,"
95,mm,"but I did mean a Christian name. Yes. It is rather unusual, I think. Verity."
96,sh,"Watson, a bucket of water over the
     straw. That will do! Lestrade, allow me to present you with your
     principal missing witness, Mr. Jonas Oldacre."
97,mm,"how much we go by what is called, I believe, the context? There is a place on Dartmoor called Grey Wethers. If you were talking to a farmer there and mentioned Grey Wethers, he would probably conclude that you were speaking of these stone circles, yet it is possible that you might be speaking of the atmosphere; and in the same way, if you were meaning the stone circles, an outsider, hearing a fragment of the conversation, might think you meant the weather. So when we repeat a conversation, we don’t, as a rule, repeat the actual words; we put in some other words that seem to us to mean exactly the same thing.

“I saw both the cook and Dorothy separately. I asked the cook if she was quite sure that her master had really mentioned a heap of fish. She said she was quite sure.

“‘Were these his exact words,’ I asked, ‘or did he mention some particular kind of fish?’

“‘That’s it,’ said the cook; ‘it was some particular kind of fish, but I can’t remember what now. A heap of—now what was it? Not any of the fish you send to table. Would it be a perch now—or pike? No. It didn’t begin with a P.’

“Dorothy also recalled that her master had mentioned some special kind of fish. ‘Some outlandish kind of fish it was,’ she said.

“‘A pile of—now what was it?’

“‘Did he say heap or pile?’ I asked.

“‘I think he said pile. But there, I really can’t be sure—it’s so hard to remember the actual words, isn’t it, miss, especially when they don’t seem to make sense. But now I come to think of it, I am pretty sure that it was a pile, and the fish began with C; but it wasn’t a cod or a crayfish.’

“The next part is where I am really proud of myself,"
98,hp,"Ach! it is foolish, that! Do you think a man with a fractured bone and a splint on his leg could go walking about the boat and stabbing people? I tell you, it was impossible for Simon Doyle to leave his cabin."
99,sh,"We had not long to wait, for our Norfolk squire came straight from
     the station as fast as a hansom could bring him. He was looking
     worried and depressed, with tired eyes and a lined forehead."
100,sh,"I assure you that I have not associated you
     with the crime, Colonel,"
101,mm,"I thought this might have been something to do with her or something she knew about,"
102,sh,"No, he was averse to it also. No one but Mr. McCarthy was in favour
     of it."
103,sh,Have you any objection to my looking at your register?
104,hp,He was absent for a short time when he fetched a skein of wool for his wife.
105,mm,"No, no, my dear young lady. You need have no fears on that score. The story I am about to tell is a perfectly simple and straightforward one and can be followed by any layman."
106,hp,"It has been a wet day. The wind blew, the rain came down, and the mist was everywhere so that one could not see through it. Eh bien, what is it like now? The mists have rolled away, the sky is clear and up above the stars shine. That is like life, Madame."
107,mm,but surely that has nothing to do with the very interesting story that Mr. Petherick has been telling us.
108,mm,"You remember the woman who came down here and said she represented Welfare, and after taking subscriptions she was never heard of again and proved to having nothing whatever to do with Welfare. One is so inclined to be trusting and take people at their own valuation."
109,hp,"Ah! but that raises rather an interesting question. They would notice a stranger undoubtedly—but would they have even noticed a member of the expedition? The members of the staff are passing in and out all day. The servants would hardly notice their going and coming. It is possible, I think, that either Mr. Carey or Mr. Coleman might have entered and the servants’ minds would have no remembrance of such an event."
110,sh,"said Phelps, smiling, though it was
     evident that his adventure had somewhat shaken him."
111,hp,"So did the late Mrs. Marshall. It is chic, eh? And very expensive?"
112,hp,I never wrote to you. Those letters weren’t written by me. I’ve said so again and again.
113,sh,"Bad! Stand clear, Watson! Not an unnecessary
     footstep! What do I read here? He fell wounded, he stood up, he
     remounted, he proceeded. But there is no other track. Cattle on this
     side path. He was surely not gored by a bull? Impossible! But I see
     no traces of anyone else. We must push on, Watson. Surely with stains
     as well as the track to guide us he cannot escape us now."
114,hp,There’s the café and there’s the girl’s home. I’d better go to both of them. Kelsey can come with me.
115,hp,"Oh, yes, Mademoiselle. I saw all there was to see—indeed I saw something that you did not."
116,mm,Not after the horrible revelations we have heard from you! The cosmopolitan world seems a mild and peaceful place compared with St. Mary Mead.
117,sh,Sir Henry put his hand upon my shoulder with a pleasant smile.
118,hp,Who comes next? Miss Brewster. I find her just a little alarming.
119,hp,"There may be a natural explanation for that,"
120,mm,"I had met him just over a year ago abroad. In the West Indies. I never knew much about him. His life or his family or any personal friends that he had. He was a great financier but otherwise, or so people always said, he was a man who was very reserved about himself. Did you know his family or anyone …?"
121,mm,"As I say, Sir Henry, I felt no doubt in my own mind. Mr. Sanders was a big, good-looking, florid-faced man, very hearty in his manner and popular with all. And nobody could have been pleasanter to his wife than he was. But I knew! He meant to make away with her."
122,mm,Did you come on this trip to see the houses or to see gardens?
123,sh,"Anything which you or the Inspector may suggest will most certainly
     be done."
124,hp,"It is necessary to clear up one or two points. When I asked you whether you saw anyone on the starboard deck at one-ten this morning, your answer was that you saw nobody. Fortunately I have been able to arrive at the truth without your help. Monsieur Allerton has admitted that he was in Linnet Doyle’s cabin last night."
125,sh,"cried the poor little man, throwing
     out his hands, and looking from one to the other of us."
126,hp,"You have had the evil chance, my friend,"
127,sh,"You don't look quite the man you did when I threw you over the ropes
     into the crowd at the Old Deer Park. I expect I have changed a bit
     also. But it's this last day or two that has aged me. I see by your
     telegram, Mr. Holmes, that it is no use my pretending to be anyone's
     deputy."
128,mm,"Tried to make a regular story of it. ‘He said,’ ‘she said,’ ‘the girl thought,’ etc. Facts of the story are true."
129,hp,"It makes me madder than a hornet to be disbelieved,"
130,mm,"and there are always people. People whom one wishes one could do a little something for but one’s own funds do not admit of it. And then I will not pretend that there are not pleasures and desires—things that one has not been able to indulge in or to afford—I think Mr. Rafiel knew quite well that to be able to do so, quite unexpectedly, would give an elderly person a great deal of pleasure."
131,hp,"You and I, M. le docteur, we
investigate this affair side by side. Without you I should be lost. I
desire a little information from the good Mr. Hammond."
132,sh,"he was as you say. I have heard that he was
     atrocious. But how are you affected?"
133,mm,But I mean it would be so much better if you came to us. We’d try and make you comfortable.
134,sh,"I am not retained by the police to supply their deficiencies.
     If Horner were in danger it would be another thing; but this fellow
     will not appear against him, and the case must collapse. I suppose
     that I am commuting a felony, but it is just possible that I am
     saving a soul. This fellow will not go wrong again; he is too
     terribly frightened. Send him to jail now, and you make him a
     jail-bird for life. Besides, it is the season of forgiveness. Chance
     has put in our way a most singular and whimsical problem, and its
     solution is its own reward. If you will have the goodness to touch
     the bell, Doctor, we will begin another investigation, in which, also
     a bird will be the chief feature."
135,mm,"Mr. Rafiel, as you know, died. His lawyers asked me to come and see them, apprised me of his proposition. I received a letter from him which explained nothing. After that I heard nothing more for some little time. Then I got a letter from the company who run these tours saying that Mr. Rafiel before his death had made a reservation for me knowing that I should enjoy a trip very much, and wanting to give it me as a surprise present. I was very astonished but took it as an indication of the first step that I was to undertake. I was to go on this tour and presumably in the course of the tour some other indication or hint or clue or direction would come to me. I think it did. Yesterday, no, the day before, I was received on my arrival here by three ladies who live at an old manor house here and who very kindly extended an invitation to me. They had heard from Mr. Rafiel, they said, who had written some time before his death, saying that a very old friend of his would be coming on this tour and would they be kind enough to put her up for two or three days as he thought she was not fit to attempt the particular ascent of this rather difficult climb up the headland to where there was a memorial tower which was the principal event of yesterday’s tour."
136,sh,"A man was striding up the path which led to the door. He was a tall,
     handsome, swarthy fellow, clad in a suit of grey flannel, with a
     Panama hat, a bristling black beard, and a great, aggressive hooked
     nose, and flourishing a cane as he walked. He swaggered up the path
     as if the place belonged to him, and we heard his loud, confident
     peal at the bell."
137,hp,I’m sure I hope I acted for the best.
138,mm,"It’s just Mrs. Trout over again. Mrs. Trout was very good at red herrings, but she met her match in me. And I can see through your remorse-driven Miss Barton. Drown herself? Went off to Australia, if I’m any good at guessing."
139,mm,"You’ve heard, no doubt, of Mr. Rafiel’s death, or perhaps you saw it in the paper."
140,hp,"You are very intelligent, Mademoiselle. I have thought so ever since I arrived here. It would be a pleasure to discuss this business with you."
141,hp,"She, certainly. But it is not of her I speak. There was someone else on this boat who disliked Madame, who was very angry because of the way Madame had injured him."
142,hp,"No, they separated some years ago. Ascher’s a German. He was a waiter at one time, but he took to drink and gradually became unemployable. His wife went into service for a bit. Her last place was as cook-housekeeper to an old lady, Miss Rose. She allowed her husband so much out of her wages to keep himself, but he was always getting drunk and coming round and making scenes at the places where she was employed. That’s why she took the post with Miss Rose at The Grange. It’s three miles out of Andover, dead in the country. He couldn’t get at her there so well. When Miss Rose died, she left Mrs. Ascher a small legacy, and the woman started this tobacco and newsagent business—quite a tiny place—just cheap cigarettes and a few newspapers—that sort of thing. She just about managed to keep going. Ascher used to come round and abuse her now and again and she used to give him a bit to get rid of him. She allowed him fifteen shillings a week regular."
143,sh,"Holmes and I put on our dress-clothes, so that we might appear to be
     two theatre-goers homeward bound. In Oxford Street we picked up a
     hansom and drove to an address in Hampstead. Here we paid off our
     cab, and with our great-coats buttoned up, for it was bitterly cold
     and the wind seemed to blow through us, we walked along the edge of
     the Heath."
144,sh,"I fear not, Mr. Holmes. The train has been broken up before now, and
     the carriages redistributed."
145,hp,"Ah, pardon—I was confused. She is a young lady much in the news, that. I have been interested in her for some time."
146,hp,Perhaps you will be so kind as to repeat your story to me.
147,sh,"Percy has been inquiring for you all morning. Ah, poor old
     chap, he clings to any straw! His father and his mother asked me to
     see you, for the mere mention of the subject is very painful to
     them."
148,mm,And a good job too. I have never regretted my part in bringing that man to justice. I’ve no patience with modern humanitarian scruples about capital punishment.
149,hp,"What one looks like doesn’t matter. He says I really could help him in his work, and he’s going to teach me all about neurosis."
150,mm,"I don’t expect she’ll leave until she’s ready to leave,"
151,hp,Then I don’t know what she wanted them for.
152,sh,"we have still ten minutes.
     I am going far to screen you, Lady Hilda. In return you will spend
     the time in telling me frankly the real meaning of this extraordinary
     affair."
153,mm,Something about this atmosphere. We never got over it here. Never. Never since—since Verity died. It’s years but it doesn’t go away. A shadow’s here.
154,sh,"I should like to have a peep at each of them,"
